CN-kod,Beskrivning_final,Tullsats
73110019,"Behållare för komprimerad eller till vätska förtätad gas, av järn eller stål, sömlösa, för ett tryck på >= 165 bar och med en rymd av > 50 l (exkl. behållare som är speciellt konstruerade och utrustade för befordran med ett eller flera transportmedel)",25%
73110099,"Behållare för komprimerad eller till vätska förtätad gas, av järn eller stål, med en rymd av >= 1.000 l (exkl. sömlösa samt behållare som är speciellt konstruerade och utrustade för befordran med ett eller flera transportmedel)",25%
73141400,"Duk av rostfritt stål (exkl. vävnader av metalltråd, av sådana slag som används till kläder, som möbelvävnader o.d. samt ändlösa band för maskiner)",25%
73141900,"Vävd duk, av järn- eller ståltråd (exkl. vävnader av metalltråd, av sådana slag som används till kläder, som möbelvävnader o.d., ändlösa band för maskiner och duk av rostfritt stål)",25%
73144900,"Duk, galler och nät, inkl stängselnät, av järn- eller ståltråd (exkl. vävda duk, svetsade i korsningspunkterna samt pläterade eller överdragna med zink eller överdragna med plast)",25%
73151110,"Rullkedjor av järn eller stål, av sådana slag som används för cyklar och motorcyklar",25%
73151190,Rullkedjor av järn eller stål (exkl. av sådana slag som används för cyklar och motorcyklar),25%
73151200,Ledbultkedjor av järn eller stål (exkl. rullkedjor),25%
73151900,"Delar till ledbultkedjor, av järn eller stål",25%
73158900,"Kedjor samt kättingar av järn eller stål i.a.n. (exkl. ledbultkedjor, snökedjor, stolpkätting, kedjor och kättingar med svetsade länkar samt delar till sådana och urkedjor o.d., kedjor försedda med skärtänder etc. och som används i kedjesågar eller skärverktyg, kedjor med skopor, transportkedjor med krokar samt klämkedjor till textilmaskiner mm, säkerhetskedjor till dörrar samt lantmäterikedjor)",25%
73159000,"Delar till snökedjor, stolpkätting och andra kedjor och kättingar enligt nr 7315 (exkl. till ledbultkedjor)",25%
73181410,"Självgängande skruvar, av rostfritt stål",25%
73181491,"Skruvar, självgängade, med ringa stigning, av järn eller stål (exkl. av rostfritt stål)",25%
73181499,"Skruvar, självgängade, av järn eller stål (exkl. av rostfritt stål samt skruvar med ringa stigning)",25%
73181640,"Blindnitmuttrar, av järn eller stål (exkl. av rostfritt stål)",25%
73181660,"Självlåsande muttrar, av järn eller stål (exkl. av rostfritt stål)",25%
73181692,"Muttrar, av järn eller stål, med en håldiameter av <= 12 mm (exkl. av rostfritt stål, blindnitmuttrar och självlåsande muttrar)",25%
73181699,"Muttrar, av järn eller stål, med en håldiameter av > 12 mm (exkl. av rostfritt stål, blindnitmuttrar och självlåsande muttrar)",25%
73211110,"Apparater med ugn för matlagning, inkl. separata ugnar, för hushållsbruk, av järn eller stål, för gas eller för både gas och annat bränsle (exkl. apparater för storkök)",25%
73211190,"Apparater för matlagning samt tallriksvärmare för hushållsbruk, av järn eller stål, för gas eller för både gas och annat bränsle (exkl. apparater med ugn för matlagning samt apparater för storkök)",25%
73229000,"Luftvärmare och varmluftsfördelare, inkl. apparater som även kan fördela sval eller konditionerad luft, inte försedda med elektrisk uppvärmningsanordning, men utrustade med motordriven fläkt eller blåsmaskin samt delar till sådana apparater, av järn eller stål",25%
73239300,"Bords-, köks- och andra hushållsartiklar samt delar till sådana artiklar, av rostfritt stål (exkl. tankar, fat, burkar, flaskor, askar o.d. behållare enligt nr 7310; papperskorgar, korkskruvar och andra artiklar av karaktären av arbetsredskap, skär-och klippverktyg, skedar, slevar, gafflar etc. enligt nr 8211 till 8215, prydnadsföremål samt sanitetsgods)",25%
73239900,"Bords-, köks- och andra hushållsartiklar och delar till sådana, av järn eller stål (exkl. av gjutjärn eller rostfritt stål, emaljerade; tankar, fat, burkar, flaskor, askar o.d. behållare enligt nr 7310; papperskorgar; korkskruvar och andra artiklar med karaktär av verktyg; knivar samt skedar, gafflar, potatisskalare mm enligt nr 8211-8215; prydnadsföremål; sanitetsartiklar)",25%
73241000,Diskbänkar och tvättställ av rostfritt stål,25%
73251000,"Varor av icke-aducerat gjutjärn, i.a.n.",25%
73259910,"Varor av gjutjärn, i.a.n. (exkl. av icke aducerat gjutjärn samt kulor o.d. artiklar för kvarnar)",25%
73259990,"Varor av stål, gjutna, i.a.n. (exkl. kulor o.d. artiklar för kvarnar)",25%
73269030,Stegar och trappstegar av järn eller stål,25%
73269040,"Lastpallar o.d. artiklar, av järn eller stål (exkl. behållare som är speciellt konstruerade och utrustade för en eller flera transportformer)",25%
73269050,"Rullar och trummor för kablar, slanger o.d., av järn eller stål",25%
73269060,"Ventilatorer, takrännor, krokar o.d. artiklar för byggnadsindustrin, i.a.n., icke-mekaniska, av järn eller stål",25%
73269092,"Varor av järn eller stål, frismidda, i.a.n.",25%
73269096,"Varor av järn eller stål, sintrade, i.a.n.",25%
73269098,"Varor av järn eller stål, i.a.n.",10%
76042990,"Profiler av aluminiumlegering, massiva",25%
76061130,"Aluminiumkompositpanel, av olegerat aluminium, med en tjocklek av > 0,2 mm",25%
76061150,"Plåt och band av olegerat aluminium, med en tjocklek av > 0,2 mm, av kvadratisk eller rektangulär form, målade, lackerade eller plastöverdragna (exkl. aluminiumkompositpanel)",25%
76061191,"Plåt och band av olegerat aluminium, med en tjocklek av > 0,2 mm men < 3 mm, av kvadratisk eller rektangulär form (exkl. målade, lackerade eller plastöverdragna samt klippnät av aluminium)",25%
76061193,"Plåt och band av olegerat aluminium, med en tjocklek av >= 3 mm men < 6 mm, av kvadratisk eller rektangulär form (exkl. målade, lackerade eller plastöverdragna samt klippnät av aluminium)",25%
76061199,"Plåt och band av olegerat aluminium, med en tjocklek av >= 6 mm, av kvadratisk eller rektangulär form (exkl. målade, lackerade eller plastöverdragna)",25%
76061211,"Råmaterial till dryckesburkar av aluminiumlegering, med en tjocklek av > 0,2 mm",25%
76061219,"Råmaterial till dryckesburklock och deras rivring av aluminiumlegering, med en tjocklek av > 0,2 mm",25%
76061230,"Aluminiumkompositpanel, av aluminiumlegeringar, med en tjocklek av > 0,2 mm",25%
76061250,"Plåt och band av aluminiumlegering, med en tjocklek av > 0,2 mm, av kvadratisk eller rektangulär form, målade, lackerade eller plastöverdragna (exkl. råmaterial till dryckesburkar, burklock och deras rivring samt aluminiumkompositpanel)",25%
76061292,"Plåt och band av aluminiumlegering, med en tjocklek av > 0,2 mm men < 3 mm, av kvadratisk eller rektangulär form (exkl. målade, lackerade eller plastöverdragna samt klippnät av aluminium, råmaterial till dryckesburkar, burklock och deras rivring)",25%
76061293,"Plåt och band av aluminiumlegering, med en tjocklek av >= 3 mm men < 6 mm, av kvadratisk eller rektangulär form (exkl. målade, lackerade eller plastöverdragna samt klippnät av aluminium)",25%
84221100,Diskmaskiner av hushållstyp,25%
84501111,"Vattentvättmaskiner för hushåll eller tvätterier, helautomatiska, frontmatade, för <= 6 kg torr tvätt",25%
84501119,"Vattentvättmaskiner för hushåll eller tvätterier, helautomatiska, toppmatade, för <= 6 kg torr tvätt",25%
84501190,"Vattentvättmaskiner för hushåll eller tvätterier, helautomatiska, för > 6 kg men <= 10 kg torr tvätt",25%
84501200,"Vattentvättmaskiner för hushåll eller tvätterier med inbyggd centrifug, för <= 10 kg torr tvätt (exkl. helautomatiska)",25%
84501900,"Vattentvättmaskiner för hushåll eller tvätterier, för <= 10 kg torr tvätt (exkl. helautomatiska samt med inbyggd centrifug)",25%
85061011,"Galvaniska element och batterier, av mangandioxid, alkaliska, i form av cylindriska celler (exkl. förbrukade)",10%
85061018,"Galvaniska element och batterier, av mangandioxid, alkaliska (exkl. förbrukade eller i form av cylindriska celler)",10%
85061091,"Galvaniska element och batterier, av mangandioxid, i form av cylindriska celler (exkl. förbrukade samt alkaliska)",10%
85061098,"Galvaniska element och batterier, av mangandioxid (exkl. förbrukade eller i form av cylindriska celler)",10%
85069000,Delar till galvaniska element och batterier,10%
85437001,Artiklar som konstruerats särskilt för anslutning till apparater eller instrument för telegrafi eller telefoni eller till telegraf- eller telefonnät,25%
85437002,Mikrovågsförstärkare,25%
85437003,Trådlösa anordningar med infrarött ljus för fjärrkontroll av videospelskonsoler,25%
85437004,Inspelningsapparater för digitala flygdata,25%
85437005,"Bärbar, batteridriven elektronisk läsare för att registrera och återge text, stillbild eller ljud",25%
85437006,Apparat för digital signalbehandling som kan ansluta till ett trådnät eller trådlöst nät för ljudmixning,25%
85437007,"Bärbar, interaktiv, elektronisk pedagogisk utrustning främst utformad för barn (exkl. leksaker av 9503 00 87)",25%
85437008,Plasmareningsmaskiner som avlägsnar organiska föroreningar från prov och provhållare för elektronmikroskopi,25%
85437009,"Tryckkänsliga inenheter, s.k. pekskärmar utan visningskapacitet, som ska monteras i apparater med skärm och som fungerar genom att upptäcka förekomsten av och platsen för ett tryck på skärmen",25%
85437010,"Maskiner för översättnings- eller ordboksändamål, elektriska",25%
85437030,Antennförstärkare,25%
85437050,"Solsängar, sollampor och liknande solningsutrustning",25%
85437060,Apparater för aktivering av elektriska stängsel,25%
85437090,"Elektriska maskiner och apparater med självständiga arbetsuppgifter, i.a.n. i kap 85",25%
87042110,"Motorfordon speciellt konstruerade för transport av högradioaktivt material ""Euratom"", med enbart förbränningskolvmotor med kompressionständning ""diesel- eller semidieselmotor, med en totalvikt <= 5 ton",10%
87042131,"Motorfordon för godsbefordran, med enbart förbränningskolvmotor med kompressionständning ""diesel- eller semidieselmotor"" med en totalvikt av <= 5 ton och med en cylindervolym av > 2 500 cm³, nya (exkl. dumprar, konstruerade för användning i terräng enligt nr 8704 10, motorfordon för speciella ändamål enligt nr 8705 samt speciellt konstruerade för transport av högradioaktivt material ""Euratom"")",10%
87042139,"Motorfordon för godsbefordran, med enbart förbränningskolvmotor med kompressionständning ""diesel- eller semidieselmotor"" med en totalvikt av <= 5 ton och med en cylindervolym av > 2 500 cm³, begagnade (exkl. dumprar, konstruerade för användning i terräng enligt nr 8704 10, motorfordon för speciella ändamål enligt nr 8705 samt speciellt konstruerade för transport av högradioaktivt material ""Euratom"")",10%
87042191,"Motorfordon för godsbefordran, med enbart förbränningskolvmotor med kompressionständning ""diesel- eller semidieselmotor"" med en totalvikt av <= 5 ton och med en cylindervolym av <= 2 500 cm³, nya (exkl. dumprar, konstruerade för användning i terräng enligt nr 8704 10, motorfordon för speciella ändamål enligt nr 8705 samt speciellt konstruerade för transport av högradioaktivt material ""Euratom"")",10%
87042199,"Motorfordon för godsbefordran, med enbart förbränningskolvmotor med kompressionständning ""diesel- eller semidieselmotor"" med en totalvikt av <= 5 ton och med en cylindervolym av <= 2 500 cm³, begagnade (exkl. dumprar, konstruerade för användning i terräng enligt nr 8704 10, motorfordon för speciella ändamål enligt nr 8705 samt speciellt konstruerade för transport av högradioaktivt material ""Euratom"")",10%
87044110,"Motorfordon speciellt konstruerade för transport av högradioaktivt material ""Euratom"", med både förbränningskolvmotor med kompressionständning ""diesel- eller semidieselmotor och elmotor som framdrivningsmotorer, med en totalvikt av <= 5 ton",10%
87044131,"Motorfordon för godsbefordran, med både förbränningskolvmotor med kompressionständning ""diesel- eller semidieselmotor"" och elmotor som framdrivningsmotorer med en totalvikt av <= 5 ton och med en cylindervolym av > 2 500 cm³, nya (exkl. dumprar, konstruerade för användning i terräng enligt nr 8704 10, motorfordon för speciella ändamål enligt nr 8705 samt speciellt konstruerade för transport av högradioaktivt material ""Euratom"")",10%
87044139,"Motorfordon för godsbefordran, med både förbränningskolvmotor med kompressionständning ""diesel- eller semidieselmotor"" och och elmotor som framdrivningsmotorer med en totalvikt av <= 5 ton och med en cylindervolym av > 2 500 cm³, begagnade (exkl. dumprar, konstruerade för användning i terräng enligt nr 8704 10, motorfordon för speciella ändamål enligt nr 8705 samt speciellt konstruerade för transport av högradioaktivt material ""Euratom"")",10%
87044191,"Motorfordon för godsbefordran, med både förbränningskolvmotor med kompressionständning ""diesel- eller semidieselmotor"" och och elmotor som framdrivningsmotorer med en totalvikt av <= 5 ton och med en cylindervolym av <= 2 500 cm³, nya (exkl. dumprar, konstruerade för användning i terräng enligt nr 8704 10, motorfordon för speciella ändamål enligt nr 8705 samt speciellt konstruerade för transport av högradioaktivt material ""Euratom"")",10%
87044199,"Motorfordon för godsbefordran, med både förbränningskolvmotor med kompressionständning ""diesel- eller semidieselmotor"" och och elmotor som framdrivningsmotorer med en totalvikt av <= 5 ton och med en cylindervolym av <= 2 500 cm³, begagnade (exkl. dumprar, konstruerade för användning i terräng enligt nr 8704 10, motorfordon för speciella ändamål enligt nr 8705 samt speciellt konstruerade för transport av högradioaktivt material ""Euratom"")",10%
87114000,Motorcyklar med förbränningskolvmotor med fram- och återgående kolv eller kolvar och med en cylindervolym av > 500 cm³ men <= 800 cm³,25%
87115000,Motorcyklar med förbränningskolvmotor med fram- och återgående kolv eller kolvar och med en cylindervolym av > 800 cm³,25%
89019010,"Fartyg för godsbefordran samt andra fartyg för både person- och godsbefordran, för öppen sjö (exkl. kyl- och frysfartyg, tankfartyg, färjor samt fartyg som huvudsakligen är avsedda för personbefordran)",25%
89019090,"Fartyg för godsbefordran samt fartyg för både person- och godsbefordran, även maskindrivna (exkl. för öppen sjö, kyl- och frysfartyg, tankfartyg, färjor samt fartyg som huvudsakligen är avsedda för personbefordran)",25%
89020010,"Fiskefartyg; fabriksfartyg och andra fartyg för beredning eller konservering av fiskeriprodukter, för öppen sjö",25%
89020090,Fiskefartyg; fabriksfartyg och andra fartyg för beredning eller konservering av fiskeriprodukter (exkl. för öppen sjö samt fartyg till sportsfiskeri),25%
89031100,"Båtar för nöjes- eller sportbruk, uppblåsbara båtar inkl. uppblåsbara båtar med hårt skrov, utrustade med eller utformade för att utrustas med en motor, med en tomvikt ""netto"" utan motor på <= 100 kg",10%
89031200,"Båtar för nöjes- eller sportbruk, uppblåsbara båtar inkl. uppblåsbara båtar med hårt skrov, med en tomvikt ""netto"" på <= 100 kg (exkl. utrustade med eller utformade för att utrustas med en motor)",10%
89031900,"Båtar för nöjes- eller sportbruk, uppblåsbara båtar inkl. uppblåsbara båtar med hårt skrov, med en tomvikt ""netto"" på > 100 kg",10%
89032100,"Segelbåtar för nöjes- eller sportbruk, även med hjälpmotor, med en längd av <= 7,5 m (exkl. uppblåsbara)",25%
89032200,,25%
89032300,,25%
89033100,"Motorbåtar för nöjes- eller sportbruk, med en längd av <= 7,5 m (exkl. uppblåsbara och med utombordsmotor)",25%
89033210,"Motorbåtar för nöjes- eller sportbruk, med en längd av > 7,5 m men <= 24 m, för öppen sjö (exkl. uppblåsbara och med utombordsmotor)",25%
89033290,"Motorbåtar för nöjes- eller sportbruk, med en längd av > 7,5 m men <= 24 m (exkl. uppblåsbara, med utombordsmotor samt för öppen sjö)",25%
89033310,"Motorbåtar för nöjes- eller sportbruk, med en längd av > 24 m, för öppen sjö (exkl. med utombordsmotor)",25%
89033390,"Motorbåtar för nöjes- eller sportbruk, med en längd av > 24 m (exkl. med utombordsmotor samt för öppen sjö)",25%
89039300,,25%
89039910,"Motorbåtar med utombordsmotor, för nöjes- eller sportbruk samt roddbåtar och kanoter, med en längd av > 7,5 m, med en vikt av <= 100 kg vardera (exkl. uppblåsbara)",25%
89039999,"Motorbåtar med utombordsmotor, för nöjes- eller sportbruk samt roddbåtar och kanoter, med en längd av > 7,5 m, med en vikt > 100 kg vardera (exkl. uppblåsbara)",25%
94016100,Sittmöbler med trästomme och stoppning (exkl. trädgårds- och campingmöbler samt bäddbara utemöbler),25%
94016900,"Sittmöbler med trästomme, utan stoppning (exkl. trädgårds- och campingmöbler samt bäddbara utemöbler)",25%
94017100,"Sittmöbler med metallstomme och stoppning (exkl. sittmöbler, av sådana slag som används till luftfartyg eller motorfordon, höj- och sänkbara snurrstolar samt möbler för medicinskt, kirurgiskt och dentalt bruk)",25%
94017900,"Sittmöbler med metallstomme, utan stoppning (exkl. höj- och sänkbara snurrstolar samt möbler för medicinskt, kirurgiskt och dentalt bruk)",25%
94018000,"Sittmöbler (exkl. sittmöbler för luftfartyg, motorfordon, höj- och sänkbara snurrstolar, bäddbara sittmöbler, sittmöbler av rotting, vide, bambu e.d., sittmöbler med metall- eller trästomme)",25%
94044010,"Kviltade täcken, sängöverkast, duntäcken och andra sängtäcken, fyllda med dun eller fjäder",25%
94044090,"Kviltade täcken, sängöverkast, duntäcken och andra sängtäcken (exkl. fyllda med dun eller fjäder)",25%
94049010,"Sängutrustning och liknande, fyllda med dun eller fjäder (exkl. madrasser, sovsäckar, kviltade täcken, sängöverkast, duntäcken och andra sängtäcken)",25%
94049090,"Sängkläder och liknande inredningsartiklar, försedda med resårer, stoppning eller inlägg av vilket material som helst eller tillverkade av poröst gummi eller porös plast (exkl. fyllda med dun eller fjäder, resårbottnar, madrasser, sovsäckar, madrasser för påfyllning av vatten, luftmadrasser och -kuddar samt mattor och överdrag, kviltade täcken, sängöverkast, duntäcken och andra sängtäcken)",25%
94059900,"Delar till ljusskyltar, namnplåtar med belysning, o.d., i.a.n.",25%
95044000,Spelkort,10%
26030000,"Kopparmalm, även anrikad",25%
73011000,"Spont av järn eller stål, även med borrade eller stansade hål eller tillverkad genom sammanfogning",25%
73021010,"Strömskenor av järn eller stål, med ledare av annan metall än järn, för järnvägar eller spårvägar",25%
73021022,"Vignole räler ,av järn eller stål, för järnvägar eller spårvägar, nya, med en vikt av >= 36 kg/m",25%
73021028,"Vignole räler, av järn eller stål, för järnvägar eller spårvägar, nya, med en vikt av < 36 kg/m",25%
73021040,"Gaturäler av järn eller stål, för järnvägar eller spårvägar, nya",25%
73021050,"Räler av järn eller stål, för järnvägar eller spårvägar, nya (exkl. vignole räler, gaturäler samt strömskenor med ledare av annan metall än järn)",25%
73021090,"Räler av järn eller stål, för järnvägar eller spårvägar, begagnade (exkl. strömskenor med ledare av annan metall än järn)",25%
73023000,"Växeltungor, spårkorsningar, växelstag och andra delar till spårväxlar, av järn eller stål",25%
73024000,"Rälskarvjärn och underläggsplattor av järn eller stål, till räler för järnvägar och spårvägar",25%
73029000,"Sliprar, moträler, kuggskenor, rälstolar, klämplattor, spårhållare, spårplattor och annan speciell materiel för sammanbindning eller fästande av räler för järnvägar och spårvägar, av järn eller stål (exkl. räler, växeltungor, spårkorsningar, växelstag och andra delar till spårväxlar samt rälskarvjärn och underläggsplattor)",25%
73041100,"Rör, sömlösa, av rostfritt stål, av sådana slag som används till olje- eller gasledningar ""pipelines""",25%
73041910,"Rör, sömlösa, av järn eller stål, av sådana slag som används till olje- eller gasledningar ""pipelines"", med en ytterdiameter av <= 168,3 mm (exkl. av rostfritt stål eller av gjutjärn)",25%
73041930,"Rör, sömlösa, av järn eller stål, av sådana slag som används till olje- eller gasledningar ""pipelines"", med en ytterdiameter av > 168,3 mm men <= 406,4 mm (exkl. av rostfritt stål eller av gjutjärn)",25%
73041990,"Rör, sömlösa, av järn eller stål, av sådana slag som används till olje- eller gasledningar ""pipelines"", med en ytterdiameter av > 406,4 mm (exkl. av rostfritt stål eller av gjutjärn)",25%
73042200,"Borrör, sömlösa, av rostfritt stål, av sådana slag som används vid borrning efter olja eller gas",25%
73042300,"Borrör, sömlösa, av järn eller stål, av sådana slag som används vid borrning efter olja eller gas (exkl. av rostfritt stål eller av gjutjärn)",25%
73042400,"Foderrör och andra rör, sömlösa, av rostfritt stål, av sådana slag som används vid borrning efter olja eller gas (exkl. borrör)",25%
73042910,"Foderrör och andra rör, sömlösa, av järn eller stål, av sådana slag som används vid borrning efter olja eller gas med en ytterdiameter av <= 168,3 mm (exkl. borrör av rostfritt stål eller av gjutjärn samt andra rör av rostfritt stål)",25%
73042930,"Foderrör och andra rör, sömlösa, av järn eller stål, av sådana slag som används vid borrning efter olja eller gas med en ytterdiameter av > 168,3 mm men <= 406,4 mm (exkl. borrör av rostfritt stål eller av gjutjärn samt andra rör av rostfritt stål)",25%
73042990,"Foderrör och andra rör, sömlösa, av järn eller stål, av sådana slag som används vid borrning efter olja eller gas med en ytterdiameter av > 406,4 mm (exkl. borrör av rostfritt stål eller av gjutjärn samt andra rör av rostfritt stål)",25%
73043950,"Rör avsedda för gängning, eller gängbara ""gasrör"", sömlösa, av järn eller olegerat stål (exkl. gjutjärn)",25%
73043982,"Rör och ihåliga profiler, sömlösa, av runt tvärsnitt, av järn eller olegerat stål, med en ytterdiameter <= 168,3 mm (exkl. kalldragna eller kallvalsade, av gjutjärn, rör av sådana slag som används för olje- eller gasledningar ""pipelines"", foderrör, borrör och andra rör av sådana slag som används vid borrning efter olja eller gas och rör, samt gasrör enligt undernr 7304 39 50)",25%
73043983,"Rör och ihåliga profiler, sömlösa, med runt tvärsnitt, av järn eller olegerat stål, med en ytterdiameter av > 168,3 mm men <= 406,4 mm (exkl. kalldragna eller kallvalsade , av gjutjärn, rör av sådana slag som används för olje- eller gasledningar ""pipelines"", foderrör, borrrör och andra rör av sådana slag som används vid borrning efter olja eller gas och rör, samt gasrör enligt undernr 7304 39 50)",25%
73043988,"Rör och ihåliga profiler, sömlösa, av runt tvärsnitt, av järn eller olegerat stål, med en ytterdiameter av > 406,4 mm (exkl. kalldragna eller kallvalsade, av gjutjärn, rör av sådana slag som används för olje- eller gasledningar ""pipelines"", foderrör, borrör och andra rör av sådana slag som används vid borrning efter olja eller gas och rör, samt gasrör enligt undernr 7304 39 50)",25%
73044983,"Rör och ihåliga profiler, sömlösa, med runt tvärsnitt, av rostfritt stål, med en ytterdiameter <= 168,3 mm (exkl. kalldragna eller kallvalsade, rör av det slag som används för olja eller gasledningar ""pipelines"", och foderrör, borrör och rör av sådana slag som används för borrning efter olja eller gas och rör)",25%
73044985,"Rör och ihåliga profiler, sömlösa, med runt tvärsnitt, av rostfritt stål, med en ytterdiameter av > 168,3 mm men <= 406,4 mm (exkl. kalldragna eller kallvalsade, rör av ett slag som används för olje- eller gasledningar ""pipelines"", och foderrör, borrör och rör av sådana slag som används för borrning efter olja eller gas och rör)",25%
73044989,"Rör, rör och ihåliga profiler, sömlösa, med runt tvärsnitt, av rostfritt stål, med en ytterdiameter av > 406,4 mm (exkl. kalldragna eller kallvalsade, rör av det slag som används för olja eller gas rörledningar ""pipelines"", och foderrör, borrör och rör av sådana slag som används för borrning efter olja eller gas och rör)",25%
73045110,"Rör och ihåliga profiler, sömlösa, med runt tvärsnitt, av annat legerat stål än rostfritt, kalldragna eller kallvalsade ""kallreducerade"", raka och med jämntjocka väggar, innehållande >= 0,9 men <= 1,15 viktprocent kol och >= 0,5 men <= 2 viktprocent krom, även innehållande <= 0,5 viktprocent molybden (exkl. av rostfritt stål samt rör av sådana slag som används till olje- eller gasledningar ""pipelines"" eller foderrör, borrör och andra rör av sådana slag som används vid borrning efter olja eller gas)",25%
73045181,"Precisionsrör, sömlösa, med runt tvärsnitt, av legerat stål, kalldragna eller kallvalsade (exkl. av rostfritt stål samt rör av sådana slag som används till olje- eller gasledningar ""pipelines"" eller vid borrning efter olja eller gas samt rör enligt nr 7304 51 12 - 7304 51 18)",25%
73045189,"Rör, sömlösa, med runt tvärsnitt, av legerat stål, kalldragna eller kallvalsade (exkl. av rostfritt stål samt rör av sådana slag som används till olje- eller gasledningar ""pipelines"" eller vid borrning efter olja eller gas, precisionsrör samt rör enligt nr 7304 51 12 - 7304 51 18)",25%
73045930,"Rör och ihåliga profiler av legerat stål, sömlösa, med runt tvärsnitt, raka och med jämntjocka väggar, innehållande >= 0,9 men <= 1,15 viktprocent kol och >= 0,5 men <= 2 viktprocent krom, även innehållande <= 0,5 viktprocent molybden (exkl. av rostfritt stål, rör av sådana slag som används till olje- eller gasledningar ""pipelines"" eller foderrör, borrör och andra rör av sådana slag som används vid borrning efter olja eller gas, samt kalldragna eller kallvalsade)",25%
73045982,"Rör och ihåliga profiler, sömlösa, med runt tvärsnitt, av annat legerat stål än rostfritt, med en ytterdiameter <= 168,3 mm (exkl. kalldragna eller kallvalsade, rör av det slag som används för olje- eller gasledningar ""pipelines"", foderrör, borrör och rör av sådana slag som används för borrning efter olja eller gas samt produkter enligt undernr 7304 59 30)",25%
73045983,"Rör och ihåliga profiler, sömlösa, med runt tvärsnitt, av annat legerat stål än rostfritt, med en ytterdiameter av > 168,3 mm men <= 406,4 mm (exkl. kalldragna eller kallvalsade, rör av sådana slag som används för olje- eller gasledningar ""pipelines"", foderrör, borrör och rör av sådana slag som används för borrning efter olja eller gas, samt produkter enligt undernr 7304 59 30)",25%
73045989,"Rör och ihåliga profiler, sömlösa, med runt tvärsnitt, av annat legerat stål än rostfritt, med en ytterdiameter av > 406,4 mm (exkl. kalldragna eller kallvalsade, rör av sådana slag som används för olje- och gasledningar ""pipelines"", foderrör, borrör och rör av sådana slag som används för borrning efter olja eller gas samt produkter enligt undernr 7304 59 30)",25%
73049000,"Rör och ihåliga profiler, sömlösa, av järn eller stål (exkl. av gjutjärn samt med runt tvärsnitt)",25%
73051100,"Rör av sådana slag som används till olje- eller gasledningar ""pipelines"", med runt tvärsnitt, med en ytterdiameter av > 406,4 mm, av järn eller stål, längssvetsade genom pulverbågsvetsning",25%
73051200,"Rör av sådana slag som används till olje- eller gasledningar ""pipelines"", med runt tvärsnitt, med en ytterdiameter av > 406,4 mm, av järn eller stål, längssvetsade (exkl. genom pulverbågsvetsning)",25%
73051900,"Rör av sådana slag som används till olje- eller gasledningar ""pipelines"", med runt tvärsnitt, med en ytterdiameter av > 406,4 mm, av järn eller stål (exkl. sömlösa samt längssvetsade)",25%
73052000,"Foderrör av sådana slag som används vid borrning efter olja eller gas, med runt tvärsnitt, med en ytterdiameter av > 406,4 mm, av järn eller stål (exkl. sömlösa)",25%
73053100,"Rör med runt tvärsnitt, med en ytterdiameter av > 406,4 mm, av järn eller stål, längssvetsade (exkl. rör av sådana slag som används till olje- eller gasledningar ""pipelines"" eller vid borrning efter olja eller gas)",25%
73053900,"Rör med runt tvärsnitt, med en ytterdiameter av > 406,4 mm, av järn eller stål, svetsade (exkl. längssvetsade samt rör av sådana slag som används till olje- eller gasledningar ""pipelines"" eller vid borrning efter olja eller gas)",25%
73059000,"Rör med runt tvärsnitt, med en ytterdiameter av > 406,4 mm, av järn eller stål (exkl. sömlösa, svetsade samt rör av sådana slag som används till olje- eller gasledningar ""pipelines"" eller vid borrning efter olja eller gas)",25%
73061100,"Rör av sådana slag som används till olje- eller gasledningar ""pipelines"", svetsade, av rostfrittstål, med en ytterdiameter av <= 406,4 mm",25%
73061900,"Rör av sådana slag som används till olje- eller gasledningar ""pipelines"", svetsade, av järn eller stål, med en ytterdiameter av <= 406,4 mm (exkl. av rostfritt stål eller gjutjärn)",25%
73062100,"Foderrör och rör av sådana slag som används vid borrning efter olja eller gas, svetsade, av rostfritt stål, med en ytterdiameter av <= 406,4 mm",25%
73062900,"Foderrör och rör av sådana slag som används vid borrning efter olja eller gas, av järn eller stål, svetsade, med en ytterdiameter av <= 406,4 mm (exkl. av rostfritt stål eller gjutjärn)",25%
73065021,"Precisionsstålrör, svetsade, med runt tvärsnitt, av annat legerat stål än rostfritt, kalldragna eller kallvalsade ""kallreducerade""",25%
73065029,"Precisionsstålrör, svetsade, med runt tvärsnitt, av annat legerat stål än rostfritt (exkl. kalldragna eller kallvalsade)",25%
73065080,"Rör, svetsade, med runt tvärsnitt, av legerat stål (exkl. av rostfritt stål och rör med runt inre och yttre tvärsnitt, med en ytterdiameter av > 406,4 mm, rör av sådana slag som används till olje- eller gasledningar ""pipelines"" eller vid borrning efter olja eller gas samt precisionsrör)",25%
73066110,"Rör, svetsade, med kvadratiskt eller rektangulärt tvärsnitt, av rostfritt stål",25%
73066192,"Rör, svetsade, med kvadratiskt eller rektangulärt tvärsnitt, med en väggtjocklek av <= 2 mm, av järn eller stål (exkl. av rostfritt stål)",25%
73066199,"Rör, svetsade, med kvadratiskt eller rektangulärt tvärsnitt, med en väggtjocklek av > 2 mm, av järn eller stål (exkl. av rostfritt stål)",25%
