Minut	Sekund 00	Sekund 01	Sekund 02	Sekund 03	Sekund 04	Sekund 05	Sekund 06	Sekund 07	Sekund 08	Sekund 09	Sekund 10	Sekund 11	Sekund 12	Sekund 13	Sekund 14	Sekund 15	Sekund 16	Sekund 17	Sekund 18	Sekund 19	Sekund 20	Sekund 21	Sekund 22	Sekund 23	Sekund 24	Sekund 25	Sekund 26	Sekund 27	Sekund 28	Sekund 29	Sekund 30	Sekund 31	Sekund 32	Sekund 33	Sekund 34	Sekund 35	Sekund 36	Sekund 37	Sekund 38	Sekund 39	Sekund 40	Sekund 41	Sekund 42	Sekund 43	Sekund 44	Sekund 45	Sekund 46	Sekund 47	Sekund 48	Sekund 49	Sekund 50	Sekund 51	Sekund 52	Sekund 53	Sekund 54	Sekund 55	Sekund 56	Sekund 57	Sekund 58	Sekund 59
23:52	49,97 Hz	49,971 Hz	49,971 Hz	49,971 Hz	49,972 Hz	49,972 Hz	49,973 Hz	49,973 Hz	49,974 Hz	49,974 Hz	49,974 Hz	49,975 Hz	49,975 Hz	49,975 Hz	49,975 Hz	49,976 Hz	49,976 Hz	49,976 Hz	49,976 Hz	49,976 Hz	49,976 Hz	49,976 Hz	49,976 Hz	49,976 Hz	49,976 Hz	49,976 Hz	49,976 Hz	49,976 Hz	49,976 Hz	49,976 Hz	49,976 Hz	49,975 Hz	49,975 Hz	49,975 Hz	49,975 Hz	49,975 Hz	49,975 Hz	49,975 Hz	49,975 Hz	49,975 Hz	49,975 Hz	49,975 Hz	49,975 Hz	49,975 Hz	49,976 Hz	49,976 Hz	49,976 Hz	49,976 Hz	49,977 Hz	49,977 Hz	49,977 Hz	49,977 Hz	49,978 Hz	49,978 Hz	49,978 Hz	49,979 Hz	49,979 Hz	49,979 Hz	49,979 Hz	49,98 Hz
23:53	49,98 Hz	49,98 Hz	49,98 Hz	49,981 Hz	49,981 Hz	49,981 Hz	49,981 Hz	49,981 Hz	49,981 Hz	49,982 Hz	49,982 Hz	49,982 Hz	49,982 Hz	49,982 Hz	49,982 Hz	49,982 Hz	49,982 Hz	49,982 Hz	49,982 Hz	49,982 Hz	49,982 Hz	49,983 Hz	49,983 Hz	49,983 Hz	49,983 Hz	49,983 Hz	49,983 Hz	49,983 Hz	49,983 Hz	49,983 Hz	49,983 Hz	49,983 Hz	49,983 Hz	49,983 Hz	49,983 Hz	49,983 Hz	49,983 Hz	49,983 Hz	49,983 Hz	49,983 Hz	49,983 Hz	49,983 Hz	49,983 Hz	49,983 Hz	49,983 Hz	49,982 Hz	49,982 Hz	49,982 Hz	49,982 Hz	49,982 Hz	49,981 Hz	49,981 Hz	49,981 Hz	49,981 Hz	49,98 Hz	49,98 Hz	49,98 Hz	49,979 Hz	49,979 Hz	49,979 Hz
23:54	49,979 Hz	49,978 Hz	49,978 Hz	49,978 Hz	49,977 Hz	49,977 Hz	49,977 Hz	49,977 Hz	49,976 Hz	49,976 Hz	49,976 Hz	49,975 Hz	49,975 Hz	49,975 Hz	49,975 Hz	49,974 Hz	49,974 Hz	49,974 Hz	49,973 Hz	49,973 Hz	49,972 Hz	49,972 Hz	49,972 Hz	49,971 Hz	49,971 Hz	49,971 Hz	49,971 Hz	49,97 Hz	49,97 Hz	49,97 Hz	49,97 Hz	49,97 Hz	49,969 Hz	49,969 Hz	49,969 Hz	49,969 Hz	49,969 Hz	49,968 Hz	49,968 Hz	49,968 Hz	49,968 Hz	49,968 Hz	49,967 Hz	49,967 Hz	49,967 Hz	49,967 Hz	49,967 Hz	49,966 Hz	49,966 Hz	49,966 Hz	49,966 Hz	49,966 Hz	49,966 Hz	49,966 Hz	49,966 Hz	49,966 Hz	49,966 Hz	49,966 Hz	49,966 Hz	49,966 Hz
23:55	49,966 Hz	49,966 Hz	49,966 Hz	49,967 Hz	49,967 Hz	49,967 Hz	49,967 Hz	49,967 Hz	49,967 Hz	49,968 Hz	49,968 Hz	49,968 Hz	49,968 Hz	49,968 Hz	49,968 Hz	49,968 Hz	49,968 Hz	49,968 Hz	49,968 Hz	49,968 Hz	49,968 Hz	49,967 Hz	49,967 Hz	49,967 Hz	49,967 Hz	49,967 Hz	49,967 Hz	49,966 Hz	49,966 Hz	49,966 Hz	49,966 Hz	49,966 Hz	49,965 Hz	49,965 Hz	49,965 Hz	49,965 Hz	49,965 Hz	49,965 Hz	49,964 Hz	49,964 Hz	49,964 Hz	49,964 Hz	49,964 Hz	49,964 Hz	49,964 Hz	49,965 Hz	49,965 Hz	49,965 Hz	49,965 Hz	49,965 Hz	49,965 Hz	49,965 Hz	49,965 Hz	49,965 Hz	49,965 Hz	49,965 Hz	49,965 Hz	49,965 Hz	49,965 Hz	49,965 Hz
23:56	49,965 Hz	49,965 Hz	49,964 Hz	49,964 Hz	49,964 Hz	49,964 Hz	49,963 Hz	49,963 Hz	49,962 Hz	49,962 Hz	49,961 Hz	49,961 Hz	49,96 Hz	49,96 Hz	49,959 Hz	49,959 Hz	49,958 Hz	49,958 Hz	49,957 Hz	49,957 Hz	49,957 Hz	49,957 Hz	49,956 Hz	49,956 Hz	49,956 Hz	49,956 Hz	49,956 Hz	49,956 Hz	49,956 Hz	49,956 Hz	49,956 Hz	49,956 Hz	49,956 Hz	49,956 Hz	49,956 Hz	49,957 Hz	49,957 Hz	49,958 Hz	49,958 Hz	49,959 Hz	49,959 Hz	49,96 Hz	49,96 Hz	49,96 Hz	49,961 Hz	49,961 Hz	49,961 Hz	49,962 Hz	49,962 Hz	49,962 Hz	49,963 Hz	49,963 Hz	49,963 Hz	49,963 Hz	49,964 Hz	49,964 Hz	49,964 Hz	49,964 Hz	49,964 Hz	49,964 Hz
23:57	49,964 Hz	49,964 Hz	49,964 Hz	49,964 Hz	49,964 Hz	49,964 Hz	49,963 Hz	49,963 Hz	49,963 Hz	49,963 Hz	49,963 Hz	49,963 Hz	49,962 Hz	49,962 Hz	49,962 Hz	49,962 Hz	49,961 Hz	49,961 Hz	49,961 Hz	49,961 Hz	49,961 Hz	49,961 Hz	49,961 Hz	49,961 Hz	49,961 Hz	49,961 Hz	49,961 Hz	49,961 Hz	49,961 Hz	49,961 Hz	49,961 Hz	49,961 Hz	49,961 Hz	49,961 Hz	49,961 Hz	49,961 Hz	49,961 Hz	49,961 Hz	49,962 Hz	49,962 Hz	49,962 Hz	49,962 Hz	49,962 Hz	49,962 Hz	49,962 Hz	49,962 Hz	49,962 Hz	49,962 Hz	49,962 Hz	49,962 Hz	49,962 Hz	49,962 Hz	49,962 Hz	49,962 Hz	49,962 Hz	49,962 Hz	49,962 Hz	49,962 Hz	49,962 Hz	49,962 Hz
23:58	49,963 Hz	49,963 Hz	49,963 Hz	49,964 Hz	49,964 Hz	49,965 Hz	49,966 Hz	49,966 Hz	49,967 Hz	49,968 Hz	49,969 Hz	49,97 Hz	49,971 Hz	49,971 Hz	49,972 Hz	49,973 Hz	49,974 Hz	49,975 Hz	49,976 Hz	49,976 Hz	49,977 Hz	49,978 Hz	49,978 Hz	49,979 Hz	49,979 Hz	49,98 Hz	49,98 Hz	49,981 Hz	49,981 Hz	49,981 Hz	49,981 Hz	49,981 Hz	49,981 Hz	49,981 Hz	49,981 Hz	49,981 Hz	49,981 Hz	49,981 Hz	49,981 Hz	49,981 Hz	49,981 Hz	49,981 Hz	49,98 Hz	49,98 Hz	49,98 Hz	49,98 Hz	49,98 Hz	49,98 Hz	49,98 Hz	49,979 Hz	49,979 Hz	49,979 Hz	49,979 Hz	49,979 Hz	49,979 Hz	49,978 Hz	49,978 Hz	49,978 Hz	49,978 Hz	49,978 Hz
23:59	49,978 Hz	49,978 Hz	49,978 Hz	49,978 Hz	49,978 Hz	49,978 Hz	49,978 Hz	49,978 Hz	49,978 Hz	49,979 Hz	49,979 Hz	49,979 Hz	49,98 Hz	49,98 Hz	49,981 Hz	49,981 Hz	49,982 Hz	49,982 Hz	49,982 Hz	49,983 Hz	49,983 Hz	49,983 Hz	49,983 Hz	49,983 Hz	49,983 Hz	49,983 Hz	49,983 Hz	49,983 Hz	49,982 Hz	49,982 Hz	49,982 Hz	49,981 Hz	49,981 Hz	49,98 Hz	49,98 Hz	49,979 Hz	49,979 Hz	49,978 Hz	49,977 Hz	49,977 Hz	49,976 Hz	49,975 Hz	49,974 Hz	49,974 Hz	49,973 Hz	49,972 Hz	49,972 Hz	49,971 Hz	49,97 Hz	49,97 Hz	49,969 Hz	49,968 Hz	49,968 Hz	49,967 Hz	49,966 Hz	49,966 Hz	49,965 Hz	49,964 Hz	49,964 Hz	49,963 Hz
00:00	49,963 Hz	49,963 Hz	49,962 Hz	49,962 Hz	49,962 Hz	49,961 Hz	49,961 Hz	49,961 Hz	49,961 Hz	49,96 Hz	49,96 Hz	49,96 Hz	49,96 Hz	49,96 Hz	49,96 Hz	49,959 Hz	49,959 Hz	49,959 Hz	49,959 Hz	49,959 Hz	49,959 Hz	49,958 Hz	49,958 Hz	49,958 Hz	49,958 Hz	49,957 Hz	49,957 Hz	49,957 Hz	49,957 Hz	49,956 Hz	49,956 Hz	49,956 Hz	49,955 Hz	49,955 Hz	49,954 Hz	49,954 Hz	49,954 Hz	49,953 Hz	49,953 Hz	49,952 Hz	49,952 Hz	49,951 Hz	49,951 Hz	49,951 Hz	49,95 Hz	49,95 Hz	49,95 Hz	49,95 Hz	49,95 Hz	49,949 Hz	49,949 Hz	49,949 Hz	49,949 Hz	49,949 Hz	49,949 Hz	49,949 Hz	49,949 Hz	49,949 Hz	49,949 Hz	49,949 Hz
00:01	49,95 Hz	49,95 Hz	49,95 Hz	49,95 Hz	49,95 Hz	49,95 Hz	49,95 Hz	49,951 Hz	49,951 Hz	49,951 Hz	49,951 Hz	49,951 Hz	49,951 Hz	49,951 Hz	49,951 Hz	49,951 Hz	49,951 Hz	49,952 Hz	49,952 Hz	49,952 Hz	49,952 Hz	49,952 Hz	49,952 Hz	49,952 Hz	49,952 Hz	49,952 Hz	49,952 Hz	49,953 Hz	49,953 Hz	49,952 Hz	49,952 Hz	49,952 Hz	49,952 Hz	49,952 Hz	49,952 Hz	49,951 Hz	49,951 Hz	49,951 Hz	49,95 Hz	49,95 Hz	49,949 Hz	49,949 Hz	49,948 Hz	49,948 Hz	49,947 Hz	49,947 Hz	49,946 Hz	49,946 Hz	49,946 Hz	49,945 Hz	49,945 Hz	49,944 Hz	49,944 Hz	49,943 Hz	49,943 Hz	49,943 Hz	49,942 Hz	49,942 Hz	49,942 Hz	49,942 Hz
00:02	49,941 Hz	49,941 Hz	49,941 Hz	49,941 Hz	49,94 Hz	49,94 Hz	49,94 Hz	49,94 Hz	49,94 Hz	49,94 Hz	49,94 Hz	49,94 Hz	49,94 Hz	49,939 Hz	49,939 Hz	49,939 Hz	49,939 Hz	49,939 Hz	49,938 Hz	49,938 Hz	49,938 Hz	49,938 Hz	49,937 Hz	49,937 Hz	49,937 Hz	49,936 Hz	49,936 Hz	49,936 Hz	49,935 Hz	49,935 Hz	49,934 Hz	49,934 Hz	49,934 Hz	49,933 Hz	49,933 Hz	49,933 Hz	49,932 Hz	49,932 Hz	49,931 Hz	49,931 Hz	49,93 Hz	49,93 Hz	49,93 Hz	49,929 Hz	49,929 Hz	49,928 Hz	49,928 Hz	49,928 Hz	49,927 Hz	49,927 Hz	49,927 Hz	49,927 Hz	49,926 Hz	49,926 Hz	49,926 Hz	49,926 Hz	49,925 Hz	49,925 Hz	49,925 Hz	49,924 Hz
00:03	49,924 Hz	49,923 Hz	49,923 Hz	49,922 Hz	49,922 Hz	49,921 Hz	49,921 Hz	49,92 Hz	49,919 Hz	49,918 Hz	49,918 Hz	49,917 Hz	49,916 Hz	49,915 Hz	49,914 Hz	49,914 Hz	49,913 Hz	49,912 Hz	49,911 Hz	49,911 Hz	49,91 Hz	49,909 Hz	49,909 Hz	49,908 Hz	49,907 Hz	49,907 Hz	49,906 Hz	49,906 Hz	49,905 Hz	49,905 Hz	49,905 Hz	49,904 Hz	49,904 Hz	49,904 Hz	49,903 Hz	49,903 Hz	49,903 Hz	49,903 Hz	49,902 Hz	49,902 Hz	49,902 Hz	49,902 Hz	49,902 Hz	49,902 Hz	49,901 Hz	49,901 Hz	49,901 Hz	49,901 Hz	49,901 Hz	49,901 Hz	49,901 Hz	49,901 Hz	49,901 Hz	49,901 Hz	49,9 Hz	49,9 Hz	49,9 Hz	49,9 Hz	49,9 Hz	49,9 Hz
00:04	49,9 Hz	49,9 Hz	49,9 Hz	49,899 Hz	49,899 Hz	49,899 Hz	49,899 Hz	49,899 Hz	49,899 Hz	49,899 Hz	49,899 Hz	49,899 Hz	49,898 Hz	49,898 Hz	49,898 Hz	49,898 Hz	49,898 Hz	49,898 Hz	49,898 Hz	49,897 Hz	49,897 Hz	49,897 Hz	49,897 Hz	49,896 Hz	49,896 Hz	49,896 Hz	49,896 Hz	49,896 Hz	49,895 Hz	49,895 Hz	49,895 Hz	49,895 Hz	49,895 Hz	49,895 Hz	49,894 Hz	49,894 Hz	49,894 Hz	49,894 Hz	49,894 Hz	49,894 Hz	49,894 Hz	49,894 Hz	49,894 Hz	49,894 Hz	49,895 Hz	49,895 Hz	49,895 Hz	49,895 Hz	49,895 Hz	49,895 Hz	49,895 Hz	49,895 Hz	49,895 Hz	49,895 Hz	49,895 Hz	49,895 Hz	49,895 Hz	49,895 Hz	49,895 Hz	49,895 Hz
00:05	49,895 Hz	49,895 Hz	49,895 Hz	49,895 Hz	49,895 Hz	49,895 Hz	49,895 Hz	49,895 Hz	49,895 Hz	49,895 Hz	49,895 Hz	49,895 Hz	49,895 Hz	49,895 Hz	49,895 Hz	49,894 Hz	49,894 Hz	49,894 Hz	49,894 Hz	49,894 Hz	49,894 Hz	49,894 Hz	49,894 Hz	49,894 Hz	49,894 Hz	49,894 Hz	49,894 Hz	49,893 Hz	49,893 Hz	49,893 Hz	49,893 Hz	49,893 Hz	49,893 Hz	49,893 Hz	49,893 Hz	49,893 Hz	49,893 Hz	49,894 Hz	49,894 Hz	49,894 Hz	49,894 Hz	49,894 Hz	49,894 Hz	49,894 Hz	49,894 Hz	49,894 Hz	49,895 Hz	49,895 Hz	49,895 Hz	49,895 Hz	49,896 Hz	49,896 Hz	49,896 Hz	49,896 Hz	49,896 Hz	49,896 Hz	49,897 Hz	49,897 Hz	49,897 Hz	49,897 Hz
00:06	49,897 Hz	49,896 Hz	49,896 Hz	49,896 Hz	49,895 Hz	49,895 Hz	49,895 Hz	49,895 Hz	49,894 Hz	49,894 Hz	49,894 Hz	49,893 Hz	49,893 Hz	49,893 Hz	49,892 Hz	49,892 Hz	49,891 Hz	49,891 Hz	49,89 Hz	49,89 Hz	49,89 Hz	49,889 Hz	49,889 Hz	49,888 Hz	49,888 Hz	49,888 Hz	49,888 Hz	49,887 Hz	49,887 Hz	49,887 Hz	49,887 Hz	49,887 Hz	49,887 Hz	49,887 Hz	49,886 Hz	49,886 Hz	49,886 Hz	49,886 Hz	49,886 Hz	49,885 Hz	49,885 Hz	49,885 Hz	49,885 Hz	49,885 Hz	49,884 Hz	49,884 Hz	49,884 Hz	49,884 Hz	49,884 Hz	49,884 Hz	49,883 Hz	49,883 Hz	49,883 Hz	49,883 Hz	49,883 Hz	49,883 Hz	49,882 Hz	49,882 Hz	49,882 Hz	49,882 Hz
00:07	49,882 Hz	49,881 Hz	49,881 Hz	49,881 Hz	49,881 Hz	49,881 Hz	49,881 Hz	49,881 Hz	49,881 Hz	49,882 Hz	49,882 Hz	49,882 Hz	49,882 Hz	49,882 Hz	49,883 Hz	49,883 Hz	49,883 Hz	49,884 Hz	49,884 Hz	49,884 Hz	49,884 Hz	49,885 Hz	49,885 Hz	49,885 Hz	49,885 Hz	49,885 Hz	49,886 Hz	49,886 Hz	49,886 Hz	49,886 Hz	49,886 Hz	49,886 Hz	49,886 Hz	49,886 Hz	49,886 Hz	49,885 Hz	49,885 Hz	49,885 Hz	49,885 Hz	49,884 Hz	49,884 Hz	49,884 Hz	49,883 Hz	49,883 Hz	49,883 Hz	49,882 Hz	49,882 Hz	49,881 Hz	49,881 Hz	49,88 Hz	49,88 Hz	49,879 Hz	49,879 Hz	49,878 Hz	49,878 Hz	49,877 Hz	49,877 Hz	49,876 Hz	49,876 Hz	49,875 Hz
00:08	49,875 Hz	49,874 Hz	49,874 Hz	49,873 Hz	49,873 Hz	49,872 Hz	49,872 Hz	49,871 Hz	49,87 Hz	49,87 Hz	49,869 Hz	49,868 Hz	49,868 Hz	49,867 Hz	49,866 Hz	49,866 Hz	49,865 Hz	49,864 Hz	49,864 Hz	49,863 Hz	49,863 Hz	49,862 Hz	49,862 Hz	49,861 Hz	49,861 Hz	49,86 Hz	49,86 Hz	49,86 Hz	49,859 Hz	49,859 Hz	49,859 Hz	49,859 Hz	49,859 Hz	49,859 Hz	49,858 Hz	49,858 Hz	49,858 Hz	49,859 Hz	49,859 Hz	49,859 Hz	49,859 Hz	49,859 Hz	49,86 Hz	49,86 Hz	49,861 Hz	49,861 Hz	49,862 Hz	49,862 Hz	49,863 Hz	49,864 Hz	49,865 Hz	49,866 Hz	49,866 Hz	49,867 Hz	49,868 Hz	49,869 Hz	49,87 Hz	49,871 Hz	49,872 Hz	49,873 Hz
00:09	49,873 Hz	49,874 Hz	49,875 Hz	49,876 Hz	49,876 Hz	49,877 Hz	49,878 Hz	49,878 Hz	49,879 Hz	49,879 Hz	49,88 Hz	49,88 Hz	49,881 Hz	49,882 Hz	49,882 Hz	49,883 Hz	49,883 Hz	49,884 Hz	49,884 Hz	49,885 Hz	49,885 Hz	49,886 Hz	49,886 Hz	49,887 Hz	49,887 Hz	49,888 Hz	49,889 Hz	49,889 Hz	49,89 Hz	49,891 Hz	49,892 Hz	49,892 Hz	49,893 Hz	49,894 Hz	49,895 Hz	49,896 Hz	49,897 Hz	49,898 Hz	49,898 Hz	49,899 Hz	49,9 Hz	49,901 Hz	49,902 Hz	49,903 Hz	49,903 Hz	49,904 Hz	49,905 Hz	49,905 Hz	49,906 Hz	49,907 Hz	49,907 Hz	49,908 Hz	49,908 Hz	49,908 Hz	49,909 Hz	49,909 Hz	49,909 Hz	49,909 Hz	49,909 Hz	49,909 Hz
00:10	49,91 Hz	49,91 Hz	49,91 Hz	49,909 Hz	49,909 Hz	49,909 Hz	49,909 Hz	49,909 Hz	49,909 Hz	49,909 Hz	49,909 Hz	49,91 Hz	49,91 Hz	49,91 Hz	49,91 Hz	49,911 Hz	49,911 Hz	49,912 Hz	49,912 Hz	49,913 Hz	49,913 Hz	49,913 Hz	49,914 Hz	49,914 Hz	49,915 Hz	49,915 Hz	49,916 Hz	49,916 Hz	49,917 Hz	49,917 Hz	49,918 Hz	49,918 Hz	49,919 Hz	49,919 Hz	49,92 Hz	49,92 Hz	49,921 Hz	49,921 Hz	49,921 Hz	49,922 Hz	49,922 Hz	49,923 Hz	49,923 Hz	49,923 Hz	49,924 Hz	49,924 Hz	49,925 Hz	49,925 Hz	49,926 Hz	49,926 Hz	49,927 Hz	49,928 Hz	49,928 Hz	49,929 Hz	49,929 Hz	49,93 Hz	49,931 Hz	49,931 Hz	49,932 Hz	49,933 Hz
00:11	49,933 Hz	49,934 Hz	49,934 Hz	49,934 Hz	49,935 Hz	49,935 Hz	49,935 Hz	49,935 Hz	49,935 Hz	49,935 Hz	49,935 Hz	49,935 Hz	49,935 Hz	49,935 Hz	49,935 Hz	49,934 Hz	49,934 Hz	49,934 Hz	49,934 Hz	49,934 Hz	49,934 Hz	49,934 Hz	49,934 Hz	49,934 Hz	49,934 Hz	49,934 Hz	49,935 Hz	49,935 Hz	49,935 Hz	49,935 Hz	49,936 Hz	49,936 Hz	49,936 Hz	49,936 Hz	49,936 Hz	49,936 Hz	49,936 Hz	49,937 Hz	49,937 Hz	49,937 Hz	49,937 Hz	49,937 Hz	49,937 Hz	49,937 Hz	49,937 Hz	49,937 Hz	49,938 Hz	49,938 Hz	49,938 Hz	49,938 Hz	49,938 Hz	49,939 Hz	49,939 Hz	49,939 Hz	49,939 Hz	49,939 Hz	49,94 Hz	49,94 Hz	49,94 Hz	49,94 Hz
00:12	49,94 Hz	49,941 Hz	49,941 Hz	49,941 Hz	49,941 Hz	49,941 Hz	49,942 Hz	49,942 Hz	49,942 Hz	49,942 Hz	49,942 Hz	49,942 Hz	49,942 Hz	49,942 Hz	49,941 Hz	49,941 Hz	49,941 Hz	49,941 Hz	49,941 Hz	49,941 Hz	49,941 Hz	49,941 Hz	49,941 Hz	49,94 Hz	49,94 Hz	49,94 Hz	49,94 Hz	49,94 Hz	49,94 Hz	49,94 Hz	49,939 Hz	49,939 Hz	49,939 Hz	49,939 Hz	49,939 Hz	49,938 Hz	49,938 Hz	49,938 Hz	49,938 Hz	49,938 Hz	49,938 Hz	49,937 Hz	49,937 Hz	49,937 Hz	49,937 Hz	49,937 Hz	49,937 Hz	49,937 Hz	49,937 Hz	49,937 Hz	49,937 Hz	49,937 Hz	49,937 Hz	49,937 Hz	49,937 Hz	49,937 Hz	49,937 Hz	49,937 Hz	49,937 Hz	49,938 Hz
00:13	49,938 Hz	49,938 Hz	49,938 Hz	49,938 Hz	49,939 Hz	49,939 Hz	49,939 Hz	49,939 Hz	49,94 Hz	49,94 Hz	49,94 Hz	49,94 Hz	49,94 Hz	49,94 Hz	49,94 Hz	49,94 Hz	49,94 Hz	49,94 Hz	49,94 Hz	49,94 Hz	49,94 Hz	49,94 Hz	49,94 Hz	49,94 Hz	49,94 Hz	49,94 Hz	49,94 Hz	49,94 Hz	49,94 Hz	49,94 Hz	49,94 Hz	49,94 Hz	49,94 Hz	49,94 Hz	49,94 Hz	49,94 Hz	49,94 Hz	49,94 Hz	49,94 Hz	49,94 Hz	49,94 Hz	49,94 Hz	49,94 Hz	49,94 Hz	49,94 Hz	49,94 Hz	49,94 Hz	49,94 Hz	49,94 Hz	49,94 Hz	49,94 Hz	49,94 Hz	49,939 Hz	49,939 Hz	49,939 Hz	49,939 Hz	49,939 Hz	49,939 Hz	49,939 Hz	49,939 Hz
00:14	49,939 Hz	49,94 Hz	49,94 Hz	49,94 Hz	49,94 Hz	49,94 Hz	49,94 Hz	49,94 Hz	49,94 Hz	49,94 Hz	49,94 Hz	49,94 Hz	49,94 Hz	49,94 Hz	49,94 Hz	49,941 Hz	49,941 Hz	49,941 Hz	49,941 Hz	49,941 Hz	49,941 Hz	49,941 Hz	49,941 Hz	49,942 Hz	49,942 Hz	49,942 Hz	49,942 Hz	49,942 Hz	49,943 Hz	49,943 Hz	49,943 Hz	49,943 Hz	49,943 Hz	49,944 Hz	49,944 Hz	49,944 Hz	49,945 Hz	49,945 Hz	49,945 Hz	49,945 Hz	49,946 Hz	49,946 Hz	49,946 Hz	49,946 Hz	49,946 Hz	49,946 Hz	49,946 Hz	49,946 Hz	49,946 Hz	49,946 Hz	49,946 Hz	49,946 Hz	49,946 Hz	49,946 Hz	49,947 Hz	49,947 Hz	49,947 Hz	49,947 Hz	49,947 Hz	49,947 Hz
00:15	49,948 Hz	49,948 Hz	49,948 Hz	49,949 Hz	49,949 Hz	49,949 Hz	49,949 Hz	49,95 Hz	49,95 Hz	49,95 Hz	49,95 Hz	49,951 Hz	49,951 Hz	49,951 Hz	49,951 Hz	49,951 Hz	49,951 Hz	49,951 Hz	49,951 Hz	49,951 Hz	49,951 Hz	49,951 Hz	49,95 Hz	49,95 Hz	49,95 Hz	49,949 Hz	49,949 Hz	49,948 Hz	49,948 Hz	49,948 Hz	49,947 Hz	49,947 Hz	49,946 Hz	49,946 Hz	49,946 Hz	49,945 Hz	49,945 Hz	49,945 Hz	49,944 Hz	49,944 Hz	49,944 Hz	49,944 Hz	49,944 Hz	49,944 Hz	49,944 Hz	49,944 Hz	49,944 Hz	49,944 Hz	49,944 Hz	49,944 Hz	49,944 Hz	49,945 Hz	49,945 Hz	49,945 Hz	49,946 Hz	49,946 Hz	49,947 Hz	49,947 Hz	49,947 Hz	49,948 Hz
00:16	49,948 Hz	49,948 Hz	49,948 Hz	49,948 Hz	49,948 Hz	49,948 Hz	49,948 Hz	49,948 Hz	49,948 Hz	49,947 Hz	49,947 Hz	49,947 Hz	49,946 Hz	49,946 Hz	49,946 Hz	49,945 Hz	49,945 Hz	49,944 Hz	49,944 Hz	49,944 Hz	49,944 Hz	49,943 Hz	49,943 Hz	49,943 Hz	49,943 Hz	49,943 Hz	49,943 Hz	49,943 Hz	49,943 Hz	49,943 Hz	49,943 Hz	49,942 Hz	49,942 Hz	49,942 Hz	49,942 Hz	49,942 Hz	49,941 Hz	49,941 Hz	49,941 Hz	49,94 Hz	49,94 Hz	49,94 Hz	49,939 Hz	49,939 Hz	49,939 Hz	49,938 Hz	49,938 Hz	49,937 Hz	49,937 Hz	49,937 Hz	49,936 Hz	49,936 Hz	49,935 Hz	49,935 Hz	49,935 Hz	49,935 Hz	49,934 Hz	49,934 Hz	49,934 Hz	49,934 Hz
00:17	49,933 Hz	49,933 Hz	49,933 Hz	49,933 Hz	49,933 Hz	49,933 Hz	49,933 Hz	49,933 Hz	49,933 Hz	49,933 Hz	49,933 Hz	49,933 Hz	49,933 Hz	49,933 Hz	49,933 Hz	49,933 Hz	49,933 Hz	49,933 Hz	49,933 Hz	49,933 Hz	49,933 Hz	49,933 Hz	49,933 Hz	49,933 Hz	49,933 Hz	49,933 Hz	49,933 Hz	49,933 Hz	49,933 Hz	49,933 Hz	49,933 Hz	49,933 Hz	49,933 Hz	49,932 Hz	49,932 Hz	49,932 Hz	49,932 Hz	49,932 Hz	49,931 Hz	49,931 Hz	49,931 Hz	49,931 Hz	49,93 Hz	49,93 Hz	49,93 Hz	49,929 Hz	49,929 Hz	49,929 Hz	49,928 Hz	49,928 Hz	49,928 Hz	49,928 Hz	49,928 Hz	49,928 Hz	49,928 Hz	49,928 Hz	49,928 Hz	49,928 Hz	49,928 Hz	49,928 Hz
00:18	49,929 Hz	49,929 Hz	49,929 Hz	49,929 Hz	49,929 Hz	49,929 Hz	49,929 Hz	49,929 Hz	49,929 Hz	49,929 Hz	49,93 Hz	49,93 Hz	49,93 Hz	49,931 Hz	49,931 Hz	49,932 Hz	49,932 Hz	49,933 Hz	49,933 Hz	49,934 Hz	49,934 Hz	49,935 Hz	49,936 Hz	49,936 Hz	49,937 Hz	49,937 Hz	49,938 Hz	49,938 Hz	49,939 Hz	49,939 Hz	49,939 Hz	49,94 Hz	49,94 Hz	49,94 Hz	49,941 Hz	49,941 Hz	49,941 Hz	49,941 Hz	49,942 Hz	49,942 Hz	49,942 Hz	49,942 Hz	49,942 Hz	49,942 Hz	49,942 Hz	49,943 Hz	49,943 Hz	49,943 Hz	49,943 Hz	49,943 Hz	49,943 Hz	49,943 Hz	49,943 Hz	49,944 Hz	49,944 Hz	49,944 Hz	49,944 Hz	49,945 Hz	49,945 Hz	49,945 Hz
00:19	49,945 Hz	49,945 Hz	49,946 Hz	49,946 Hz	49,946 Hz	49,946 Hz	49,946 Hz	49,946 Hz	49,947 Hz	49,947 Hz	49,947 Hz	49,947 Hz	49,947 Hz	49,947 Hz	49,947 Hz	49,947 Hz	49,947 Hz	49,948 Hz	49,948 Hz	49,948 Hz	49,948 Hz	49,948 Hz	49,949 Hz	49,949 Hz	49,949 Hz	49,949 Hz	49,949 Hz	49,95 Hz	49,95 Hz	49,95 Hz	49,95 Hz	49,949 Hz	49,949 Hz	49,949 Hz	49,949 Hz	49,949 Hz	49,949 Hz	49,949 Hz	49,949 Hz	49,949 Hz	49,949 Hz	49,949 Hz	49,949 Hz	49,949 Hz	49,949 Hz	49,949 Hz	49,949 Hz	49,948 Hz	49,948 Hz	49,948 Hz	49,948 Hz	49,948 Hz	49,948 Hz	49,948 Hz	49,948 Hz	49,948 Hz	49,948 Hz	49,948 Hz	49,948 Hz	49,948 Hz
