Undersokningsgrupp;PointNo;undersokningsbar;skrapsituation;veckodag;tackningsgrad;typmatyta;vader;klockslag;Datum;Temperatur;Lat;Lon;kommentar;OrganizationName;OrganizationId;Antal_Plast_Godis;Antal_Plast_Matforp;Antal_Plast_Mugg;Antal_Plast_Dryckforp;Antal_Plast_Pase;Antal_Plast_Snusdosa;Antal_Plast_Cellofan;Antal_Plast_Kork;Antal_Plast_Engangshandskar;Antal_Plast_Ovrigt;Antal_Papp_Godis;Antal_Papp_Matforp;Antal_Papp_Mugg;Antal_Papp_Dryckforp;Antal_Papp_Tidning;Antal_Papp_Cigg_tot;Antal_Papp_Ovrigt;Antal_Glas_Flaska;Antal_Glas_Trasigt;Antal_Glas_Ovrigt;Antal_Met_Burk;Antal_Met_Kapsyl;Antal_Met_Ovrigt;Antal_Org_Mat;Antal_Org_Fekalier;Antal_Org_Ovrigt;Antal_Annat_Fimp;Antal_Annat_Prilla;Antal_Annat_Tuggummi;Antal_Annat_Munskydd;Antal_Annat_Ovrigt
group3;107;Ja;Lätt nedskräpad.;Lördag;100%;Asfalt;Mulet;16:43;2022-10-15 00:00;14,4;55.67418;13.07491;;;LOMMA_LOMMASTATION140;;;;;;;;;;5;;;;;;;;;;;;1;;;;;15;4;;;
group1;108;Ja;Lätt nedskräpad.;Lördag;100%;Grus;Mulet;16:43;2022-10-15 00:00;14,4;55.67429;13.07548;;;LOMMA_LOMMASTATION140;;;;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;
group3;109;Ja;Ganska nedskräpad yta.;Lördag;100%;Asfalt;Mulet;16:43;2022-10-15 00:00;14,4;55.67407;13.07473;;;LOMMA_LOMMASTATION140;5;;;;;;;1;;;;;;;;;;6;;;;1;;;;;9;1;2;;
group3;110;Ja;Lätt nedskräpad.;Lördag;100%;Asfalt;Mulet;16:43;2022-10-15 00:00;14,4;55.6732;13.07464;;;LOMMA_LOMMASTATION140;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;
group3;111;Ja;Lätt nedskräpad.;Lördag;100%;Asfalt;Mulet;16:44;2022-10-15 00:00;14,4;55.67417;13.07466;;;LOMMA_LOMMASTATION140;;;;;;;;;;;;;;;;;1;;;;;;;;;;12;;;;
group3;112;Ja;Lätt nedskräpad.;Lördag;75%;Asfalt;Mulet;16:44;2022-10-15 00:00;14,4;55.67338;13.07476;;;LOMMA_LOMMASTATION140;2;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;
group3;113;Ja;Lätt nedskräpad.;Lördag;100%;Asfalt;Mulet;16:44;2022-10-15 00:00;14,4;55.67389;13.07486;;;LOMMA_LOMMASTATION140;;;;;;;;;;1;;;;;;;;;;;;;1;;;;3;2;2;;
group1;114;Ja;Lätt nedskräpad.;Lördag;100%;Gräs;Mulet;16:45;2022-10-15 00:00;14,4;55.674;13.07536;;;LOMMA_LOMMASTATION140;1;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;
group3;115;Ja;Ej nedskräpad yta (inga synliga skräpföremål).;Lördag;75%;Asfalt;Klart;16:45;2022-10-15 00:00;14,4;55.67306;13.07452;;;LOMMA_LOMMASTATION140;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
group1;116;Ja;Lätt nedskräpad.;Lördag;100%;Gräs;Mulet;16:45;2022-10-15 00:00;14,4;55.67454;13.0754;;;LOMMA_LOMMASTATION140;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;
group3;117;Ja;Lätt nedskräpad.;Lördag;100%;Asfalt;Klart;16:46;2022-10-15 00:00;14,4;55.67267;13.07537;;;LOMMA_LOMMASTATION140;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;
group3;118;Ja;Lätt nedskräpad.;Lördag;100%;Asfalt;Klart;16:46;2022-10-15 00:00;14,4;55.67291;13.0744;;;LOMMA_LOMMASTATION140;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;3;;
group3;119;Ja;Lätt nedskräpad.;Lördag;75%;Asfalt;Mulet;16:46;2022-10-15 00:00;14,4;55.67349;13.07463;;;LOMMA_LOMMASTATION140;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;1
group3;120;Ja;Lätt nedskräpad.;Lördag;100%;Grus;Klart;16:46;2022-10-15 00:00;14,4;55.67368;13.07544;;;LOMMA_LOMMASTATION140;;;;;;;;;;;1;;;;;;;;;;;;1;;;;;;;;1
group1;121;Ja;Lätt nedskräpad.;Söndag;100%;Asfalt;Klart;16:48;2022-10-16 00:00;14,4;55.67382;13.0748;;;LOMMA_LOMMASTATION140;3;;;;;;;;;3;;;;;;;;;2;;;;2;;;;7;;;;1
group1;122;Ja;Lätt nedskräpad.;Söndag;100%;Grus;Mulet;16:48;2022-10-16 00:00;14,4;55.67379;13.07531;;;LOMMA_LOMMASTATION140;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
group4;123;Ja;Ej nedskräpad yta (inga synliga skräpföremål).;Söndag;100%;Gräs;Mulet;16:48;2022-10-16 00:00;14,4;55.67379;13.07525;;;LOMMA_LOMMASTATION140;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
group1;124;Ja;Ej nedskräpad yta (inga synliga skräpföremål).;Söndag;100%;Gräs;Mulet;16:49;2022-10-16 00:00;14,4;55.67444;13.07534;;;LOMMA_LOMMASTATION140;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
group1;125;Ja;Lätt nedskräpad.;Söndag;100%;Asfalt;Mulet;16:49;2022-10-16 00:00;14,1;55.67257;13.07531;;;LOMMA_LOMMASTATION140;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;2;;
group1;126;Ja;Ej nedskräpad yta (inga synliga skräpföremål).;Söndag;100%;Asfalt;Mulet;16:49;2022-10-16 00:00;14,1;55.67242;13.07544;;;LOMMA_LOMMASTATION140;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
group1;127;Ja;Lätt nedskräpad.;Söndag;100%;Övrigt;Mulet;16:49;2022-10-16 00:00;14,4;55.67419;13.07542;;;LOMMA_LOMMASTATION140;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;
group1;128;Ja;Ej nedskräpad yta (inga synliga skräpföremål).;Söndag;100%;Gräs;Mulet;16:50;2022-10-16 00:00;14,4;55.67357;13.07526;;;LOMMA_LOMMASTATION140;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
group1;129;Ja;Lätt nedskräpad.;Söndag;100%;Asfalt;Mulet;16:50;2022-10-16 00:00;14,4;55.67284;13.07447;;;LOMMA_LOMMASTATION140;;;;;;;;;;1;;;;;;;;;1;;;;;;;;;1;3;;
group1;130;Ja;Lätt nedskräpad.;Söndag;100%;Gräs;Klart;16:50;2022-10-16 00:00;14,4;55.67354;13.07545;;;LOMMA_LOMMASTATION140;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
group1;131;Ja;Ej nedskräpad yta (inga synliga skräpföremål).;Söndag;100%;Gräs;Mulet;16:51;2022-10-16 00:00;14,4;55.67372;13.07544;;;LOMMA_LOMMASTATION140;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
group1;132;Ja;Ej nedskräpad yta (inga synliga skräpföremål).;Söndag;100%;Gräs;Mulet;16:51;2022-10-16 00:00;14,4;55.6734;13.07558;;;LOMMA_LOMMASTATION140;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
group4;133;Ja;Lätt nedskräpad.;Söndag;100%;Asfalt;Klart;16:51;2022-10-16 00:00;14,4;55.67342;13.07463;;;LOMMA_LOMMASTATION140;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;1
group4;134;Ja;Lätt nedskräpad.;Söndag;100%;Asfalt;Klart;16:51;2022-10-16 00:00;14,4;55.67345;13.07456;;;LOMMA_LOMMASTATION140;;;;;;;;;;2;;;;;;;;;1;0;;;;;;;;1;;;
group1;135;Ja;Lätt nedskräpad.;Söndag;100%;Asfalt;Klart;16:52;2022-10-16 00:00;14,4;55.67284;13.07453;;;LOMMA_LOMMASTATION140;;;;;;;;;;1;;;;;;;;;;;;;;;;;2;;;;
group1;136;Ja;Lätt nedskräpad.;Söndag;100%;Asfalt;Klart;16:52;2022-10-16 00:00;14,4;55.67295;13.07446;;;LOMMA_LOMMASTATION140;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;
group1;137;Ja;Lätt nedskräpad.;Söndag;100%;Asfalt;Klart;16:52;2022-10-16 00:00;14,4;55.67421;13.07485;;;LOMMA_LOMMASTATION140;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2;;
group1;138;Ja;Ej nedskräpad yta (inga synliga skräpföremål).;Söndag;100%;Asfalt;Klart;16:52;2022-10-16 00:00;14,4;55.6732;13.07458;;;LOMMA_LOMMASTATION140;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
group1;139;Ja;Ej nedskräpad yta (inga synliga skräpföremål).;Söndag;100%;Asfalt;Klart;16:53;2022-10-16 00:00;14,4;55.67275;13.07536;;;LOMMA_LOMMASTATION140;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
group1;140;Ja;Lätt nedskräpad.;Söndag;100%;Asfalt;Klart;16:53;2022-10-16 00:00;14,4;55.6736;13.07456;;;LOMMA_LOMMASTATION140;;;;;;;;;;1;;;;;;;;;;;;;1;;;;;;;;
