Läns-/kommunkod;Länstillhörighet;Namn;E-post;Telefon;Webbadress;Postaddress 1;Postnr;Ort
1435;14;Tanums kommun;kommun@tanum.se;0525-180 00;http://www.tanum.se;;45781;TANUMSHEDE
1472;14;Tibro kommun;kommun@tibro.se;0504-18000;http://www.tibro.se;;54380;TIBRO
1498;14;Tidaholms kommun;tidaholms.kommun@tidaholm.se;0502-606000;http://www.tidaholm.se;;52283;TIDAHOLM
0360;03;Tierps kommun;kommunstyrelsen@tierp.se;0293-18000;http://www.tierp.se;;81580;TIERP
2262;22;Timrå kommun;timra.kommun@timra.se;060-163100;http://www.timra.se;;86182;TIMRÅ
0763;07;Tingsryds kommun;kommunen@tingsryd.se;0477-44100;http://www.tingsryd.se;Box 88;36222;TINGSRYD
1419;14;Tjörns kommun;kommun@tjorn.se;0304-601000;http://www.tjorn.se;;47180;SKÄRHAMN
1270;12;Tomelilla kommun;kommun@tomelilla.se;0417-18000;http://www.tomelilla.se;;27380;TOMELILLA
1473;14;Töreboda kommun;kommunen@toreboda.se;0506-18000;http://www.toreboda.se;Box 83;54522;TÖREBODA
0834;08;Torsås kommun;info@torsas.se;0486-33100;http://www.torsas.se;Box 503;38525;TORSÅS
1737;17;Torsby kommun;torsby.kommun@torsby.se;0560-16000;http://www.torsby.se;;68580;TORSBY
0687;06;Tranås kommun;tranaskommun@tranas.se;0140-68100;http://www.tranas.se;;57382;TRANÅS
1452;14;Tranemo kommun;kommun@tranemo.se;0325-576000;http://www.tranemo.se;;51480;TRANEMO
1287;12;Trelleborgs kommun;trelleborgs.kommun@trelleborg.se;0410-733000;http://www.trelleborg.se;;23183;TRELLEBORG
1488;14;Trollhättans stad;trollhattans.stad@trollhattan.se;0520-495000;http://www.trollhattan.se;;46183;TROLLHÄTTAN
0488;04;Trosa kommun;trosa@trosa.se;0156-52000;http://www.trosa.se;;61980;TROSA
0138;01;Tyresö kommun;kommun@tyreso.se;08-5782 9100;http://www.tyreso.se;;13581;TYRESÖ
1485;14;Uddevalla kommun;kommunen@uddevalla.se;0522-696000;http://www.uddevalla.se;;45181;UDDEVALLA
1491;14;Ulricehamns kommun;kommun@ulricehamn.se;0321-595000;http://www.ulricehamn.se;;52386;ULRICEHAMN
2480;24;Umeå kommun;umea.kommun@umea.se;090- 16 10 00;http://www.umea.se;;90184;UMEÅ
0114;01;Upplands Väsby kommun;upplands.vasby.kommun@upplandsvasby.se;08-590 970 00;http://www.upplandsvasby.se;;19480;UPPLANDS VÄSBY
0139;01;Upplands-Bro kommun;kommun@upplands-bro.se;08-581 690 00;http://www.upplands-bro.se;;19681;KUNGSÄNGEN
0380;03;Uppsala kommun;uppsala.kommun@uppsala.se;018-7270000;http://www.uppsala.se;;75375;UPPSALA
0760;07;Uppvidinge kommun;ledningskontoret@uppvidinge.se;0474-470 00;http://www.uppvidinge.se;Box 59;36421;ÅSEDA
0584;05;Vadstena kommun;vadstena.kommun@vadstena.se;0143-15000;http://www.vadstena.se;;59280;VADSTENA
0665;06;Vaggeryds kommun;info@vaggeryd.se;0370-67 80 00;http://www.vaggeryd.se;Box 43;56821;SKILLINGARYD
0563;05;Valdemarsviks kommun;kommun@valdemarsvik.se;0123-19100;http://www.valdemarsvik.se;;61580;VALDEMARSVIK
0115;01;Vallentuna kommun;kommun@vallentuna.se;08-58785000;http://www.vallentuna.se;;18686;VALLENTUNA
1487;14;Vänersborgs kommun;kommun@vanersborg.se;0521-721000;http://www.vanersborg.se;;46285;VÄNERSBORG
2460;24;Vännäs kommun;vannas.kommun@vannas.se;0935-14000;http://www.vannas.se;;91181;VÄNNÄS
2021;20;Vansbro kommun;vansbro.kommun@vansbro.se;0281-750 00;http://www.vansbro.se;;78050;VANSBRO
1470;14;Vara kommun;vara.kommun@vara.se;0512-31000;http://www.vara.se;;53481;VARA
1383;13;Varbergs kommun;ks@varberg.se;0340-880 00;http://www.varberg.se;;43280;VARBERG
1442;14;Vårgårda kommun;kommunen@vargarda.se;0322-600600;http://www.vargarda.se;;44780;VÅRGÅRDA
0120;01;Värmdö kommun;varmdo.kommun@varmdo.se;08-57047000;http://www.varmdo.se;;13481;GUSTAVSBERG
0683;06;Värnamo kommun;kontaktcenter@varnamo.se;0370-37 70 00;http://www.varnamo.se;;33183;VÄRNAMO
1980;19;Västerås stad;kommunstyrelsen@vasteras.se;021-39 00 00;http://www.vasteras.se;Stadshuset;72187;VÄSTERÅS
0883;08;Västerviks kommun;kommun@vastervik.se;0490-254000;http://www.vastervik.se;;59380;VÄSTERVIK
0187;01;Vaxholms stad;kansliet@vaxholm.se;08-54170800;http://www.vaxholm.se;;18583;VAXHOLM
0780;07;Växjö kommun;kommunstyrelsen@vaxjo.se;0470-41000;http://www.vaxjo.se;Box 1222;35112;VÄXJÖ
1233;12;Vellinge kommun;vellinge.kommun@vellinge.se;040-42 50 00;http://www.vellinge.se;;23581;VELLINGE
0685;06;Vetlanda kommun;kommun@vetlanda.se;0383-97100;http://www.vetlanda.se;;57480;VETLANDA
2462;24;Vilhelmina kommun;vilhelmina.kommun@vilhelmina.se;0940-14000;http://www.vilhelmina.se;;91281;VILHELMINA
0884;08;Vimmerby kommun;kommun@vimmerby.se;0492-769000;http://www.vimmerby.se;Stadshuset;59881;VIMMERBY
2404;24;Vindelns kommun;vindelns.kommun@vindeln.se;0933-14000;http://www.vindeln.se;;92281;VINDELN
0428;04;Vingåkers kommun;kommun@vingaker.se;0151-191 00;http://www.vingaker.se;;64380;VINGÅKER
0512;05;Ydre kommun;ydre.kommun@ydre.se;0381-66 12 00;http://www.ydre.se;Torget 4;57374;YDRE
1286;12;Ystads kommun;kommunen@ystad.se;0411-577000;http://www.ystad.se;;27180;YSTAD
