"Uudenmaan väestö äidinkielen, sukupuolen ja iän mukaan 31.12."

"Uppgifter","Språk","Kön","Ålder","2023"
"Järvenpää","Totalt","Kvinnor","65-74-vuotiaat",2871
"Järvenpää","Totalt","Kvinnor","75-84-vuotiaat",1886
"Järvenpää","Totalt","Kvinnor","Yli 65-vuotiaat",5371
"Järvenpää","Totalt","Kvinnor","Yli 75-vuotiaat",2500
"Järvenpää","Totalt","Kvinnor","Yli 85-vuotiaat",614
"Järvenpää","Suomi ja saame","Totalt","Väestö yhteensä",42052
"Järvenpää","Suomi ja saame","Totalt","0-6-vuotiaat",2788
"Järvenpää","Suomi ja saame","Totalt","7-12-vuotiaat",2876
"Järvenpää","Suomi ja saame","Totalt","13-15-vuotiaat",1548
"Järvenpää","Suomi ja saame","Totalt","16-18-vuotiaat",1432
"Järvenpää","Suomi ja saame","Totalt","19-vuotiaat",563
"Järvenpää","Suomi ja saame","Totalt","20-29-vuotiaat",4635
"Järvenpää","Suomi ja saame","Totalt","30-39-vuotiaat",5930
"Järvenpää","Suomi ja saame","Totalt","40-49-vuotiaat",5406
"Järvenpää","Suomi ja saame","Totalt","50-64-vuotiaat",7875
"Järvenpää","Suomi ja saame","Totalt","65-74-vuotiaat",4992
"Järvenpää","Suomi ja saame","Totalt","75-84-vuotiaat",3118
"Järvenpää","Suomi ja saame","Totalt","Yli 65-vuotiaat",8999
"Järvenpää","Suomi ja saame","Totalt","Yli 75-vuotiaat",4007
"Järvenpää","Suomi ja saame","Totalt","Yli 85-vuotiaat",889
"Järvenpää","Suomi ja saame","Män","Väestö yhteensä",20355
"Järvenpää","Suomi ja saame","Män","0-6-vuotiaat",1453
"Järvenpää","Suomi ja saame","Män","7-12-vuotiaat",1493
"Järvenpää","Suomi ja saame","Män","13-15-vuotiaat",762
"Järvenpää","Suomi ja saame","Män","16-18-vuotiaat",712
"Järvenpää","Suomi ja saame","Män","19-vuotiaat",296
"Järvenpää","Suomi ja saame","Män","20-29-vuotiaat",2375
"Järvenpää","Suomi ja saame","Män","30-39-vuotiaat",3032
"Järvenpää","Suomi ja saame","Män","40-49-vuotiaat",2700
"Järvenpää","Suomi ja saame","Män","50-64-vuotiaat",3742
"Järvenpää","Suomi ja saame","Män","65-74-vuotiaat",2227
"Järvenpää","Suomi ja saame","Män","75-84-vuotiaat",1271
"Järvenpää","Suomi ja saame","Män","Yli 65-vuotiaat",3790
"Järvenpää","Suomi ja saame","Män","Yli 75-vuotiaat",1563
"Järvenpää","Suomi ja saame","Män","Yli 85-vuotiaat",292
"Järvenpää","Suomi ja saame","Kvinnor","Väestö yhteensä",21697
"Järvenpää","Suomi ja saame","Kvinnor","0-6-vuotiaat",1335
"Järvenpää","Suomi ja saame","Kvinnor","7-12-vuotiaat",1383
"Järvenpää","Suomi ja saame","Kvinnor","13-15-vuotiaat",786
"Järvenpää","Suomi ja saame","Kvinnor","16-18-vuotiaat",720
"Järvenpää","Suomi ja saame","Kvinnor","19-vuotiaat",267
"Järvenpää","Suomi ja saame","Kvinnor","20-29-vuotiaat",2260
"Järvenpää","Suomi ja saame","Kvinnor","30-39-vuotiaat",2898
"Järvenpää","Suomi ja saame","Kvinnor","40-49-vuotiaat",2706
"Järvenpää","Suomi ja saame","Kvinnor","50-64-vuotiaat",4133
"Järvenpää","Suomi ja saame","Kvinnor","65-74-vuotiaat",2765
"Järvenpää","Suomi ja saame","Kvinnor","75-84-vuotiaat",1847
"Järvenpää","Suomi ja saame","Kvinnor","Yli 65-vuotiaat",5209
"Järvenpää","Suomi ja saame","Kvinnor","Yli 75-vuotiaat",2444
"Järvenpää","Suomi ja saame","Kvinnor","Yli 85-vuotiaat",597
"Järvenpää","Ruotsi","Totalt","Väestö yhteensä",493
"Järvenpää","Ruotsi","Totalt","0-6-vuotiaat",76
"Järvenpää","Ruotsi","Totalt","7-12-vuotiaat",49
"Järvenpää","Ruotsi","Totalt","13-15-vuotiaat",18
"Järvenpää","Ruotsi","Totalt","16-18-vuotiaat",13
"Järvenpää","Ruotsi","Totalt","19-vuotiaat",3
"Järvenpää","Ruotsi","Totalt","20-29-vuotiaat",51
"Järvenpää","Ruotsi","Totalt","30-39-vuotiaat",58
"Järvenpää","Ruotsi","Totalt","40-49-vuotiaat",45
"Järvenpää","Ruotsi","Totalt","50-64-vuotiaat",87
"Järvenpää","Ruotsi","Totalt","65-74-vuotiaat",40
"Järvenpää","Ruotsi","Totalt","75-84-vuotiaat",46
"Järvenpää","Ruotsi","Totalt","Yli 65-vuotiaat",93
"Järvenpää","Ruotsi","Totalt","Yli 75-vuotiaat",53
"Järvenpää","Ruotsi","Totalt","Yli 85-vuotiaat",7
"Järvenpää","Ruotsi","Män","Väestö yhteensä",255
"Järvenpää","Ruotsi","Män","0-6-vuotiaat",38
"Järvenpää","Ruotsi","Män","7-12-vuotiaat",24
"Järvenpää","Ruotsi","Män","13-15-vuotiaat",10
"Järvenpää","Ruotsi","Män","16-18-vuotiaat",6
"Järvenpää","Ruotsi","Män","19-vuotiaat",3
"Järvenpää","Ruotsi","Män","20-29-vuotiaat",23
"Järvenpää","Ruotsi","Män","30-39-vuotiaat",29
"Järvenpää","Ruotsi","Män","40-49-vuotiaat",28
"Järvenpää","Ruotsi","Män","50-64-vuotiaat",45
"Järvenpää","Ruotsi","Män","65-74-vuotiaat",24
"Järvenpää","Ruotsi","Män","75-84-vuotiaat",24
"Järvenpää","Ruotsi","Män","Yli 65-vuotiaat",49
"Järvenpää","Ruotsi","Män","Yli 75-vuotiaat",25
"Järvenpää","Ruotsi","Män","Yli 85-vuotiaat",1
"Järvenpää","Ruotsi","Kvinnor","Väestö yhteensä",238
"Järvenpää","Ruotsi","Kvinnor","0-6-vuotiaat",38
"Järvenpää","Ruotsi","Kvinnor","7-12-vuotiaat",25
"Järvenpää","Ruotsi","Kvinnor","13-15-vuotiaat",8
"Järvenpää","Ruotsi","Kvinnor","16-18-vuotiaat",7
"Järvenpää","Ruotsi","Kvinnor","19-vuotiaat",0
"Järvenpää","Ruotsi","Kvinnor","20-29-vuotiaat",28
"Järvenpää","Ruotsi","Kvinnor","30-39-vuotiaat",29
"Järvenpää","Ruotsi","Kvinnor","40-49-vuotiaat",17
"Järvenpää","Ruotsi","Kvinnor","50-64-vuotiaat",42
"Järvenpää","Ruotsi","Kvinnor","65-74-vuotiaat",16
"Järvenpää","Ruotsi","Kvinnor","75-84-vuotiaat",22
"Järvenpää","Ruotsi","Kvinnor","Yli 65-vuotiaat",44
"Järvenpää","Ruotsi","Kvinnor","Yli 75-vuotiaat",28
"Järvenpää","Ruotsi","Kvinnor","Yli 85-vuotiaat",6
"Järvenpää","FRÄMMANDE SPRÅK TOTALT","Totalt","Väestö yhteensä",3945
"Järvenpää","FRÄMMANDE SPRÅK TOTALT","Totalt","0-6-vuotiaat",303
"Järvenpää","FRÄMMANDE SPRÅK TOTALT","Totalt","7-12-vuotiaat",304
"Järvenpää","FRÄMMANDE SPRÅK TOTALT","Totalt","13-15-vuotiaat",157
"Järvenpää","FRÄMMANDE SPRÅK TOTALT","Totalt","16-18-vuotiaat",149
"Järvenpää","FRÄMMANDE SPRÅK TOTALT","Totalt","19-vuotiaat",50
"Järvenpää","FRÄMMANDE SPRÅK TOTALT","Totalt","20-29-vuotiaat",520
"Järvenpää","FRÄMMANDE SPRÅK TOTALT","Totalt","30-39-vuotiaat",916
"Järvenpää","FRÄMMANDE SPRÅK TOTALT","Totalt","40-49-vuotiaat",774
"Järvenpää","FRÄMMANDE SPRÅK TOTALT","Totalt","50-64-vuotiaat",576
"Järvenpää","FRÄMMANDE SPRÅK TOTALT","Totalt","65-74-vuotiaat",146
"Järvenpää","FRÄMMANDE SPRÅK TOTALT","Totalt","75-84-vuotiaat",37
"Järvenpää","FRÄMMANDE SPRÅK TOTALT","Totalt","Yli 65-vuotiaat",196
"Järvenpää","FRÄMMANDE SPRÅK TOTALT","Totalt","Yli 75-vuotiaat",50
"Järvenpää","FRÄMMANDE SPRÅK TOTALT","Totalt","Yli 85-vuotiaat",13
"Järvenpää","FRÄMMANDE SPRÅK TOTALT","Män","Väestö yhteensä",2033
"Järvenpää","FRÄMMANDE SPRÅK TOTALT","Män","0-6-vuotiaat",154
"Järvenpää","FRÄMMANDE SPRÅK TOTALT","Män","7-12-vuotiaat",158
"Järvenpää","FRÄMMANDE SPRÅK TOTALT","Män","13-15-vuotiaat",93
"Järvenpää","FRÄMMANDE SPRÅK TOTALT","Män","16-18-vuotiaat",85
"Järvenpää","FRÄMMANDE SPRÅK TOTALT","Män","19-vuotiaat",24
"Järvenpää","FRÄMMANDE SPRÅK TOTALT","Män","20-29-vuotiaat",279
"Järvenpää","FRÄMMANDE SPRÅK TOTALT","Män","30-39-vuotiaat",479
"Järvenpää","FRÄMMANDE SPRÅK TOTALT","Män","40-49-vuotiaat",409
"Järvenpää","FRÄMMANDE SPRÅK TOTALT","Män","50-64-vuotiaat",274
"Järvenpää","FRÄMMANDE SPRÅK TOTALT","Män","65-74-vuotiaat",56
"Järvenpää","FRÄMMANDE SPRÅK TOTALT","Män","75-84-vuotiaat",20
"Järvenpää","FRÄMMANDE SPRÅK TOTALT","Män","Yli 65-vuotiaat",78
"Järvenpää","FRÄMMANDE SPRÅK TOTALT","Män","Yli 75-vuotiaat",22
"Järvenpää","FRÄMMANDE SPRÅK TOTALT","Män","Yli 85-vuotiaat",2
"Järvenpää","FRÄMMANDE SPRÅK TOTALT","Kvinnor","Väestö yhteensä",1912
"Järvenpää","FRÄMMANDE SPRÅK TOTALT","Kvinnor","0-6-vuotiaat",149
"Järvenpää","FRÄMMANDE SPRÅK TOTALT","Kvinnor","7-12-vuotiaat",146
"Järvenpää","FRÄMMANDE SPRÅK TOTALT","Kvinnor","13-15-vuotiaat",64
"Järvenpää","FRÄMMANDE SPRÅK TOTALT","Kvinnor","16-18-vuotiaat",64
"Järvenpää","FRÄMMANDE SPRÅK TOTALT","Kvinnor","19-vuotiaat",26
"Järvenpää","FRÄMMANDE SPRÅK TOTALT","Kvinnor","20-29-vuotiaat",241
"Järvenpää","FRÄMMANDE SPRÅK TOTALT","Kvinnor","30-39-vuotiaat",437
"Järvenpää","FRÄMMANDE SPRÅK TOTALT","Kvinnor","40-49-vuotiaat",365
"Järvenpää","FRÄMMANDE SPRÅK TOTALT","Kvinnor","50-64-vuotiaat",302
"Järvenpää","FRÄMMANDE SPRÅK TOTALT","Kvinnor","65-74-vuotiaat",90
"Järvenpää","FRÄMMANDE SPRÅK TOTALT","Kvinnor","75-84-vuotiaat",17
"Järvenpää","FRÄMMANDE SPRÅK TOTALT","Kvinnor","Yli 65-vuotiaat",118
"Järvenpää","FRÄMMANDE SPRÅK TOTALT","Kvinnor","Yli 75-vuotiaat",28
"Järvenpää","FRÄMMANDE SPRÅK TOTALT","Kvinnor","Yli 85-vuotiaat",11
"Karkkila","Totalt","Totalt","Väestö yhteensä",8581
"Karkkila","Totalt","Totalt","0-6-vuotiaat",400
"Karkkila","Totalt","Totalt","7-12-vuotiaat",557
"Karkkila","Totalt","Totalt","13-15-vuotiaat",338
"Karkkila","Totalt","Totalt","16-18-vuotiaat",314
"Karkkila","Totalt","Totalt","19-vuotiaat",89
"Karkkila","Totalt","Totalt","20-29-vuotiaat",580
"Karkkila","Totalt","Totalt","30-39-vuotiaat",863
"Karkkila","Totalt","Totalt","40-49-vuotiaat",1202
"Karkkila","Totalt","Totalt","50-64-vuotiaat",1800
"Karkkila","Totalt","Totalt","65-74-vuotiaat",1321
"Karkkila","Totalt","Totalt","75-84-vuotiaat",821
"Karkkila","Totalt","Totalt","Yli 65-vuotiaat",2438
"Karkkila","Totalt","Totalt","Yli 75-vuotiaat",1117
"Karkkila","Totalt","Totalt","Yli 85-vuotiaat",296
"Karkkila","Totalt","Män","Väestö yhteensä",4276
"Karkkila","Totalt","Män","0-6-vuotiaat",206
"Karkkila","Totalt","Män","7-12-vuotiaat",266
"Karkkila","Totalt","Män","13-15-vuotiaat",165
"Karkkila","Totalt","Män","16-18-vuotiaat",171
"Karkkila","Totalt","Män","19-vuotiaat",49
"Karkkila","Totalt","Män","20-29-vuotiaat",334
"Karkkila","Totalt","Män","30-39-vuotiaat",427
"Karkkila","Totalt","Män","40-49-vuotiaat",622
"Karkkila","Totalt","Män","50-64-vuotiaat",937
"Karkkila","Totalt","Män","65-74-vuotiaat",632
"Karkkila","Totalt","Män","75-84-vuotiaat",367
"Karkkila","Totalt","Män","Yli 65-vuotiaat",1099
"Karkkila","Totalt","Män","Yli 75-vuotiaat",467
"Karkkila","Totalt","Män","Yli 85-vuotiaat",100
"Karkkila","Totalt","Kvinnor","Väestö yhteensä",4305
"Karkkila","Totalt","Kvinnor","0-6-vuotiaat",194
"Karkkila","Totalt","Kvinnor","7-12-vuotiaat",291
"Karkkila","Totalt","Kvinnor","13-15-vuotiaat",173
"Karkkila","Totalt","Kvinnor","16-18-vuotiaat",143
"Karkkila","Totalt","Kvinnor","19-vuotiaat",40
"Karkkila","Totalt","Kvinnor","20-29-vuotiaat",246
"Karkkila","Totalt","Kvinnor","30-39-vuotiaat",436
"Karkkila","Totalt","Kvinnor","40-49-vuotiaat",580
"Karkkila","Totalt","Kvinnor","50-64-vuotiaat",863
"Karkkila","Totalt","Kvinnor","65-74-vuotiaat",689
"Karkkila","Totalt","Kvinnor","75-84-vuotiaat",454
"Karkkila","Totalt","Kvinnor","Yli 65-vuotiaat",1339
"Karkkila","Totalt","Kvinnor","Yli 75-vuotiaat",650
"Karkkila","Totalt","Kvinnor","Yli 85-vuotiaat",196
"Karkkila","Suomi ja saame","Totalt","Väestö yhteensä",7756
"Karkkila","Suomi ja saame","Totalt","0-6-vuotiaat",349
"Karkkila","Suomi ja saame","Totalt","7-12-vuotiaat",486
"Karkkila","Suomi ja saame","Totalt","13-15-vuotiaat",296
"Karkkila","Suomi ja saame","Totalt","16-18-vuotiaat",281
"Karkkila","Suomi ja saame","Totalt","19-vuotiaat",76
"Karkkila","Suomi ja saame","Totalt","20-29-vuotiaat",507
"Karkkila","Suomi ja saame","Totalt","30-39-vuotiaat",730
"Karkkila","Suomi ja saame","Totalt","40-49-vuotiaat",1018
"Karkkila","Suomi ja saame","Totalt","50-64-vuotiaat",1643
"Karkkila","Suomi ja saame","Totalt","65-74-vuotiaat",1270
"Karkkila","Suomi ja saame","Totalt","75-84-vuotiaat",806
"Karkkila","Suomi ja saame","Totalt","Yli 65-vuotiaat",2370
"Karkkila","Suomi ja saame","Totalt","Yli 75-vuotiaat",1100
"Karkkila","Suomi ja saame","Totalt","Yli 85-vuotiaat",294
"Karkkila","Suomi ja saame","Män","Väestö yhteensä",3840
"Karkkila","Suomi ja saame","Män","0-6-vuotiaat",175
"Karkkila","Suomi ja saame","Män","7-12-vuotiaat",237
"Karkkila","Suomi ja saame","Män","13-15-vuotiaat",141
"Karkkila","Suomi ja saame","Män","16-18-vuotiaat",153
"Karkkila","Suomi ja saame","Män","19-vuotiaat",41
"Karkkila","Suomi ja saame","Män","20-29-vuotiaat",294
"Karkkila","Suomi ja saame","Män","30-39-vuotiaat",360
"Karkkila","Suomi ja saame","Män","40-49-vuotiaat",522
"Karkkila","Suomi ja saame","Män","50-64-vuotiaat",853
"Karkkila","Suomi ja saame","Män","65-74-vuotiaat",605
"Karkkila","Suomi ja saame","Män","75-84-vuotiaat",360
"Karkkila","Suomi ja saame","Män","Yli 65-vuotiaat",1064
"Karkkila","Suomi ja saame","Män","Yli 75-vuotiaat",459
"Karkkila","Suomi ja saame","Män","Yli 85-vuotiaat",99
"Karkkila","Suomi ja saame","Kvinnor","Väestö yhteensä",3916
"Karkkila","Suomi ja saame","Kvinnor","0-6-vuotiaat",174
"Karkkila","Suomi ja saame","Kvinnor","7-12-vuotiaat",249
"Karkkila","Suomi ja saame","Kvinnor","13-15-vuotiaat",155
"Karkkila","Suomi ja saame","Kvinnor","16-18-vuotiaat",128
"Karkkila","Suomi ja saame","Kvinnor","19-vuotiaat",35
"Karkkila","Suomi ja saame","Kvinnor","20-29-vuotiaat",213
"Karkkila","Suomi ja saame","Kvinnor","30-39-vuotiaat",370
"Karkkila","Suomi ja saame","Kvinnor","40-49-vuotiaat",496
"Karkkila","Suomi ja saame","Kvinnor","50-64-vuotiaat",790
"Karkkila","Suomi ja saame","Kvinnor","65-74-vuotiaat",665
"Karkkila","Suomi ja saame","Kvinnor","75-84-vuotiaat",446
"Karkkila","Suomi ja saame","Kvinnor","Yli 65-vuotiaat",1306
"Karkkila","Suomi ja saame","Kvinnor","Yli 75-vuotiaat",641
"Karkkila","Suomi ja saame","Kvinnor","Yli 85-vuotiaat",195
"Karkkila","Ruotsi","Totalt","Väestö yhteensä",59
"Karkkila","Ruotsi","Totalt","0-6-vuotiaat",0
"Karkkila","Ruotsi","Totalt","7-12-vuotiaat",0
"Karkkila","Ruotsi","Totalt","13-15-vuotiaat",2
"Karkkila","Ruotsi","Totalt","16-18-vuotiaat",2
"Karkkila","Ruotsi","Totalt","19-vuotiaat",0
"Karkkila","Ruotsi","Totalt","20-29-vuotiaat",4
"Karkkila","Ruotsi","Totalt","30-39-vuotiaat",4
"Karkkila","Ruotsi","Totalt","40-49-vuotiaat",9
"Karkkila","Ruotsi","Totalt","50-64-vuotiaat",9
"Karkkila","Ruotsi","Totalt","65-74-vuotiaat",21
"Karkkila","Ruotsi","Totalt","75-84-vuotiaat",8
"Karkkila","Ruotsi","Totalt","Yli 65-vuotiaat",29
"Karkkila","Ruotsi","Totalt","Yli 75-vuotiaat",8
"Karkkila","Ruotsi","Totalt","Yli 85-vuotiaat",0
"Karkkila","Ruotsi","Män","Väestö yhteensä",30
"Karkkila","Ruotsi","Män","0-6-vuotiaat",0
"Karkkila","Ruotsi","Män","7-12-vuotiaat",0
"Karkkila","Ruotsi","Män","13-15-vuotiaat",1
"Karkkila","Ruotsi","Män","16-18-vuotiaat",1
"Karkkila","Ruotsi","Män","19-vuotiaat",0
"Karkkila","Ruotsi","Män","20-29-vuotiaat",1
"Karkkila","Ruotsi","Män","30-39-vuotiaat",1
"Karkkila","Ruotsi","Män","40-49-vuotiaat",6
"Karkkila","Ruotsi","Män","50-64-vuotiaat",4
"Karkkila","Ruotsi","Män","65-74-vuotiaat",12
"Karkkila","Ruotsi","Män","75-84-vuotiaat",4
"Karkkila","Ruotsi","Män","Yli 65-vuotiaat",16
"Karkkila","Ruotsi","Män","Yli 75-vuotiaat",4
"Karkkila","Ruotsi","Män","Yli 85-vuotiaat",0
"Karkkila","Ruotsi","Kvinnor","Väestö yhteensä",29
"Karkkila","Ruotsi","Kvinnor","0-6-vuotiaat",0
"Karkkila","Ruotsi","Kvinnor","7-12-vuotiaat",0
"Karkkila","Ruotsi","Kvinnor","13-15-vuotiaat",1
"Karkkila","Ruotsi","Kvinnor","16-18-vuotiaat",1
"Karkkila","Ruotsi","Kvinnor","19-vuotiaat",0
"Karkkila","Ruotsi","Kvinnor","20-29-vuotiaat",3
"Karkkila","Ruotsi","Kvinnor","30-39-vuotiaat",3
"Karkkila","Ruotsi","Kvinnor","40-49-vuotiaat",3
"Karkkila","Ruotsi","Kvinnor","50-64-vuotiaat",5
"Karkkila","Ruotsi","Kvinnor","65-74-vuotiaat",9
"Karkkila","Ruotsi","Kvinnor","75-84-vuotiaat",4
"Karkkila","Ruotsi","Kvinnor","Yli 65-vuotiaat",13
"Karkkila","Ruotsi","Kvinnor","Yli 75-vuotiaat",4
"Karkkila","Ruotsi","Kvinnor","Yli 85-vuotiaat",0
"Karkkila","FRÄMMANDE SPRÅK TOTALT","Totalt","Väestö yhteensä",766
"Karkkila","FRÄMMANDE SPRÅK TOTALT","Totalt","0-6-vuotiaat",51
"Karkkila","FRÄMMANDE SPRÅK TOTALT","Totalt","7-12-vuotiaat",71
"Karkkila","FRÄMMANDE SPRÅK TOTALT","Totalt","13-15-vuotiaat",40
"Karkkila","FRÄMMANDE SPRÅK TOTALT","Totalt","16-18-vuotiaat",31
"Karkkila","FRÄMMANDE SPRÅK TOTALT","Totalt","19-vuotiaat",13
"Karkkila","FRÄMMANDE SPRÅK TOTALT","Totalt","20-29-vuotiaat",69
"Karkkila","FRÄMMANDE SPRÅK TOTALT","Totalt","30-39-vuotiaat",129
"Karkkila","FRÄMMANDE SPRÅK TOTALT","Totalt","40-49-vuotiaat",175
"Karkkila","FRÄMMANDE SPRÅK TOTALT","Totalt","50-64-vuotiaat",148
"Karkkila","FRÄMMANDE SPRÅK TOTALT","Totalt","65-74-vuotiaat",30
"Karkkila","FRÄMMANDE SPRÅK TOTALT","Totalt","75-84-vuotiaat",7
"Karkkila","FRÄMMANDE SPRÅK TOTALT","Totalt","Yli 65-vuotiaat",39
"Karkkila","FRÄMMANDE SPRÅK TOTALT","Totalt","Yli 75-vuotiaat",9
"Karkkila","FRÄMMANDE SPRÅK TOTALT","Totalt","Yli 85-vuotiaat",2
"Karkkila","FRÄMMANDE SPRÅK TOTALT","Män","Väestö yhteensä",406
"Karkkila","FRÄMMANDE SPRÅK TOTALT","Män","0-6-vuotiaat",31
"Karkkila","FRÄMMANDE SPRÅK TOTALT","Män","7-12-vuotiaat",29
"Karkkila","FRÄMMANDE SPRÅK TOTALT","Män","13-15-vuotiaat",23
"Karkkila","FRÄMMANDE SPRÅK TOTALT","Män","16-18-vuotiaat",17
"Karkkila","FRÄMMANDE SPRÅK TOTALT","Män","19-vuotiaat",8
"Karkkila","FRÄMMANDE SPRÅK TOTALT","Män","20-29-vuotiaat",39
"Karkkila","FRÄMMANDE SPRÅK TOTALT","Män","30-39-vuotiaat",66
"Karkkila","FRÄMMANDE SPRÅK TOTALT","Män","40-49-vuotiaat",94
"Karkkila","FRÄMMANDE SPRÅK TOTALT","Män","50-64-vuotiaat",80
"Karkkila","FRÄMMANDE SPRÅK TOTALT","Män","65-74-vuotiaat",15
"Karkkila","FRÄMMANDE SPRÅK TOTALT","Män","75-84-vuotiaat",3
"Karkkila","FRÄMMANDE SPRÅK TOTALT","Män","Yli 65-vuotiaat",19
"Karkkila","FRÄMMANDE SPRÅK TOTALT","Män","Yli 75-vuotiaat",4
"Karkkila","FRÄMMANDE SPRÅK TOTALT","Män","Yli 85-vuotiaat",1
"Karkkila","FRÄMMANDE SPRÅK TOTALT","Kvinnor","Väestö yhteensä",360
"Karkkila","FRÄMMANDE SPRÅK TOTALT","Kvinnor","0-6-vuotiaat",20
"Karkkila","FRÄMMANDE SPRÅK TOTALT","Kvinnor","7-12-vuotiaat",42
"Karkkila","FRÄMMANDE SPRÅK TOTALT","Kvinnor","13-15-vuotiaat",17
"Karkkila","FRÄMMANDE SPRÅK TOTALT","Kvinnor","16-18-vuotiaat",14
"Karkkila","FRÄMMANDE SPRÅK TOTALT","Kvinnor","19-vuotiaat",5
"Karkkila","FRÄMMANDE SPRÅK TOTALT","Kvinnor","20-29-vuotiaat",30
"Karkkila","FRÄMMANDE SPRÅK TOTALT","Kvinnor","30-39-vuotiaat",63
"Karkkila","FRÄMMANDE SPRÅK TOTALT","Kvinnor","40-49-vuotiaat",81
"Karkkila","FRÄMMANDE SPRÅK TOTALT","Kvinnor","50-64-vuotiaat",68
"Karkkila","FRÄMMANDE SPRÅK TOTALT","Kvinnor","65-74-vuotiaat",15
"Karkkila","FRÄMMANDE SPRÅK TOTALT","Kvinnor","75-84-vuotiaat",4
"Karkkila","FRÄMMANDE SPRÅK TOTALT","Kvinnor","Yli 65-vuotiaat",20
"Karkkila","FRÄMMANDE SPRÅK TOTALT","Kvinnor","Yli 75-vuotiaat",5
"Karkkila","FRÄMMANDE SPRÅK TOTALT","Kvinnor","Yli 85-vuotiaat",1
"Kerava","Totalt","Totalt","Väestö yhteensä",38211
"Kerava","Totalt","Totalt","0-6-vuotiaat",2544
"Kerava","Totalt","Totalt","7-12-vuotiaat",2525
"Kerava","Totalt","Totalt","13-15-vuotiaat",1363
"Kerava","Totalt","Totalt","16-18-vuotiaat",1348
"Kerava","Totalt","Totalt","19-vuotiaat",445
"Kerava","Totalt","Totalt","20-29-vuotiaat",4247
"Kerava","Totalt","Totalt","30-39-vuotiaat",5688
"Kerava","Totalt","Totalt","40-49-vuotiaat",5188
"Kerava","Totalt","Totalt","50-64-vuotiaat",6983
"Kerava","Totalt","Totalt","65-74-vuotiaat",4200
"Kerava","Totalt","Totalt","75-84-vuotiaat",2916
"Kerava","Totalt","Totalt","Yli 65-vuotiaat",7880
"Kerava","Totalt","Totalt","Yli 75-vuotiaat",3680
"Kerava","Totalt","Totalt","Yli 85-vuotiaat",764
"Kerava","Totalt","Män","Väestö yhteensä",18899
"Kerava","Totalt","Män","0-6-vuotiaat",1283
"Kerava","Totalt","Män","7-12-vuotiaat",1290
"Kerava","Totalt","Män","13-15-vuotiaat",658
"Kerava","Totalt","Män","16-18-vuotiaat",706
"Kerava","Totalt","Män","19-vuotiaat",228
"Kerava","Totalt","Män","20-29-vuotiaat",2261
"Kerava","Totalt","Män","30-39-vuotiaat",3012
"Kerava","Totalt","Män","40-49-vuotiaat",2716
"Kerava","Totalt","Män","50-64-vuotiaat",3455
"Kerava","Totalt","Män","65-74-vuotiaat",1803
"Kerava","Totalt","Män","75-84-vuotiaat",1241
"Kerava","Totalt","Män","Yli 65-vuotiaat",3290
"Kerava","Totalt","Män","Yli 75-vuotiaat",1487
"Kerava","Totalt","Män","Yli 85-vuotiaat",246
"Kerava","Totalt","Kvinnor","Väestö yhteensä",19312
"Kerava","Totalt","Kvinnor","0-6-vuotiaat",1261
"Kerava","Totalt","Kvinnor","7-12-vuotiaat",1235
"Kerava","Totalt","Kvinnor","13-15-vuotiaat",705
"Kerava","Totalt","Kvinnor","16-18-vuotiaat",642
"Kerava","Totalt","Kvinnor","19-vuotiaat",217
"Kerava","Totalt","Kvinnor","20-29-vuotiaat",1986
"Kerava","Totalt","Kvinnor","30-39-vuotiaat",2676
"Kerava","Totalt","Kvinnor","40-49-vuotiaat",2472
"Kerava","Totalt","Kvinnor","50-64-vuotiaat",3528
"Kerava","Totalt","Kvinnor","65-74-vuotiaat",2397
"Kerava","Totalt","Kvinnor","75-84-vuotiaat",1675
"Kerava","Totalt","Kvinnor","Yli 65-vuotiaat",4590
"Kerava","Totalt","Kvinnor","Yli 75-vuotiaat",2193
"Kerava","Totalt","Kvinnor","Yli 85-vuotiaat",518
"Kerava","Suomi ja saame","Totalt","Väestö yhteensä",31566
"Kerava","Suomi ja saame","Totalt","0-6-vuotiaat",1852
"Kerava","Suomi ja saame","Totalt","7-12-vuotiaat",1964
"Kerava","Suomi ja saame","Totalt","13-15-vuotiaat",1120
"Kerava","Suomi ja saame","Totalt","16-18-vuotiaat",1091
"Kerava","Suomi ja saame","Totalt","19-vuotiaat",362
"Kerava","Suomi ja saame","Totalt","20-29-vuotiaat",3334
"Kerava","Suomi ja saame","Totalt","30-39-vuotiaat",4192
"Kerava","Suomi ja saame","Totalt","40-49-vuotiaat",4055
"Kerava","Suomi ja saame","Totalt","50-64-vuotiaat",6071
"Kerava","Suomi ja saame","Totalt","65-74-vuotiaat",3959
"Kerava","Suomi ja saame","Totalt","75-84-vuotiaat",2824
"Kerava","Suomi ja saame","Totalt","Yli 65-vuotiaat",7525
"Kerava","Suomi ja saame","Totalt","Yli 75-vuotiaat",3566
"Kerava","Suomi ja saame","Totalt","Yli 85-vuotiaat",742
"Kerava","Suomi ja saame","Män","Väestö yhteensä",15405
"Kerava","Suomi ja saame","Män","0-6-vuotiaat",924
"Kerava","Suomi ja saame","Män","7-12-vuotiaat",990
"Kerava","Suomi ja saame","Män","13-15-vuotiaat",543
"Kerava","Suomi ja saame","Män","16-18-vuotiaat",567
"Kerava","Suomi ja saame","Män","19-vuotiaat",190
"Kerava","Suomi ja saame","Män","20-29-vuotiaat",1794
